"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model","no_pca"
"tabm_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4","0.7579798287380225","4","all","TabM Ⓜ️","2026-04-23T08:44:14.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","44","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4","0.793876298754569","4","all","CatBoost 😸","2026-04-23T08:43:44.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","49","tf-idf","false"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4","0.71826300700959","4","all","LightGBM 💡","2026-04-23T08:43:36.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","33","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3","0.7061997040517322","3","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:43:14.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","77","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3","0.2571451178310683","3","all","TabPFN-v2 🤯","2026-04-23T08:43:08.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","113","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3","0.7798773185894085","3","all","TabM Ⓜ️","2026-04-23T08:42:52.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","39","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3","0.8270676558383876","3","all","CatBoost 😸","2026-04-23T08:42:09.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","52","tf-idf","false"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3","0.8269171929869958","3","all","LightGBM 💡","2026-04-23T08:42:08.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","37","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2","0.5703661380467147","2","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:41:53.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","77","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2","0.21057039294329696","2","all","TabPFN-v2 🤯","2026-04-23T08:41:42.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","116","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2","0.6920677925952867","2","all","TabM Ⓜ️","2026-04-23T08:41:15.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","47","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2","0.7692482951686533","2","all","CatBoost 😸","2026-04-23T08:41:04.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","44","tf-idf","false"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2","0.7941565365839507","2","all","LightGBM 💡","2026-04-23T08:40:36.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","33","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1","0.6338416332309428","1","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:40:21.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","75","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1","0.22951373208262915","1","all","TabPFN-v2 🤯","2026-04-23T08:40:10.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","112","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1","0.7761455633921118","1","all","TabM Ⓜ️","2026-04-23T08:39:45.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","44","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1","0.8193004343695466","1","all","CatBoost 😸","2026-04-23T08:38:49.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","76","tf-idf","false"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1","0.8310845321128532","1","all","LightGBM 💡","2026-04-23T08:38:35.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","67","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.6661558469193845","0","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:38:23.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","111","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.3587454271190005","0","all","TabPFN-v2 🤯","2026-04-23T08:38:19.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","157","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.7732994936691454","0","all","TabM Ⓜ️","2026-04-23T08:38:01.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","45","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.7985817809468633","0","all","CatBoost 😸","2026-04-23T08:37:41.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","49","tf-idf","false"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.737138995789002","0","all","LightGBM 💡","2026-04-23T08:37:23.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","31","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4","0.7507550078577176","4","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:37:20.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","53","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4","0.04947739979382748","4","all","TabPFN-v2 🤯","2026-04-23T08:36:57.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","82","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4","0.8830714939343327","4","all","TabM Ⓜ️","2026-04-23T08:36:49.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","26","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4","0.5493337794651403","4","all","CatBoost 😸","2026-04-23T08:36:24.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","28","tf-idf","false"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4","0.8235153778422741","4","all","LightGBM 💡","2026-04-23T08:36:11.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","31","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3","0.6492320314021718","3","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:36:09.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","65","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3","0.20510530382620595","3","all","TabPFN-v2 🤯","2026-04-23T08:35:59.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","95","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3","0.7528359678188629","3","all","TabM Ⓜ️","2026-04-23T08:35:33.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","32","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3","0.7047591068885587","3","all","CatBoost 😸","2026-04-23T08:35:25.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","39","tf-idf","false"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3","0.636715866761419","3","all","LightGBM 💡","2026-04-23T08:35:05.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","23","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.693540214714368","2","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:34:59.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","56","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.20670009552163648","2","all","TabPFN-v2 🤯","2026-04-23T08:34:53.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","85","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.6088946096225389","2","all","TabM Ⓜ️","2026-04-23T08:34:37.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","24","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.16754669642839437","2","all","CatBoost 😸","2026-04-23T08:34:25.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","21","tf-idf","false"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.6745932833088678","2","all","LightGBM 💡","2026-04-23T08:34:10.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","23","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1","0.7071239689044662","1","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:34:00.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","56","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1","0.20684870714017356","1","all","TabPFN-v2 🤯","2026-04-23T08:33:54.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","84","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1","0.7872744657823273","1","all","TabM Ⓜ️","2026-04-23T08:33:38.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","28","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1","0.7007156798030761","1","all","CatBoost 😸","2026-04-23T08:33:26.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","25","tf-idf","false"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1","0.7269118851605214","1","all","LightGBM 💡","2026-04-23T08:33:10.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","24","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.7654160146769665","0","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:33:01.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","56","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.10971713424324026","0","all","TabPFN-v2 🤯","2026-04-23T08:32:54.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","86","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.859038633535524","0","all","TabM Ⓜ️","2026-04-23T08:32:53.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","27","tf-idf","false"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.7207308905531087","0","all","CatBoost 😸","2026-04-23T08:32:41.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","22","tf-idf","false"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.7328401629015945","0","all","LightGBM 💡","2026-04-23T08:32:33.000Z","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","22","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_4","0.5683293117628989","4","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:32:20.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","27","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_4","0.533414319437803","4","all","TabPFN-v2 🤯","2026-04-23T08:32:15.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","30","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_4","0.456989860169825","4","all","TabM Ⓜ️","2026-04-23T08:32:13.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","23","tf-idf","false"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_4","0.4988701422315345","4","all","CatBoost 😸","2026-04-23T08:32:06.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","22","tf-idf","false"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_4","0.5149809138161728","4","all","LightGBM 💡","2026-04-23T08:31:57.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","19","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_3","0.5195523231677813","3","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:31:47.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","23","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_3","0.5208658722105939","3","all","TabPFN-v2 🤯","2026-04-23T08:31:41.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","27","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_3","0.43880784830178354","3","all","TabM Ⓜ️","2026-04-23T08:31:37.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","21","tf-idf","false"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_3","0.4572252267887832","3","all","CatBoost 😸","2026-04-23T08:31:29.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","22","tf-idf","false"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_3","0.4636908647045679","3","all","LightGBM 💡","2026-04-23T08:31:25.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","18","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_2","0.5534265323227847","2","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:31:13.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","23","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_2","0.5060244912055278","2","all","TabPFN-v2 🤯","2026-04-23T08:31:04.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","29","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_2","0.4695491493193833","2","all","TabM Ⓜ️","2026-04-23T08:31:01.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","22","tf-idf","false"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_2","0.497027618295937","2","all","CatBoost 😸","2026-04-23T08:30:52.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","26","tf-idf","false"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_2","0.5168097306606247","2","all","LightGBM 💡","2026-04-23T08:30:51.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","19","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_1","0.393848449510415","1","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:30:30.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","28","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_1","0.3426301991270686","1","all","TabPFN-v2 🤯","2026-04-23T08:30:28.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","29","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_1","0.34962119254346613","1","all","TabM Ⓜ️","2026-04-23T08:30:23.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","21","tf-idf","false"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_1","0.32772740371391007","1","all","CatBoost 😸","2026-04-23T08:30:17.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","28","tf-idf","false"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_1","0.3452337586808202","1","all","LightGBM 💡","2026-04-23T08:30:07.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","19","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_0","0.4552858396904548","0","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:30:00.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","23","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_0","0.4237973928212616","0","all","TabPFN-v2 🤯","2026-04-23T08:29:50.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","25","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_0","0.46480223076466287","0","all","TabM Ⓜ️","2026-04-23T08:29:33.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","21","tf-idf","false"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_0","0.4541871790652181","0","all","CatBoost 😸","2026-04-23T08:29:18.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","27","tf-idf","false"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_0","0.40931360791157045","0","all","LightGBM 💡","2026-04-23T08:29:11.000Z","REG_TEXT_SOCIAL_KOREAN_DRAMA","19","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4","0.9881464469478232","4","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:28:58.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","64","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4","0.9877098711587788","4","all","TabPFN-v2 🤯","2026-04-23T08:28:52.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","77","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4","0.976483191634498","4","all","TabM Ⓜ️","2026-04-23T08:28:35.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","39","tf-idf","false"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4","0.9865474239719646","4","all","CatBoost 😸","2026-04-23T08:28:15.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","36","tf-idf","false"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4","0.9867923853715468","4","all","LightGBM 💡","2026-04-23T08:28:02.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","28","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3","0.9888323215168616","3","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:28:01.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","63","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3","0.9878621323097438","3","all","TabPFN-v2 🤯","2026-04-23T08:27:32.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","75","tf-idf","false"
"tabm_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3","0.9793570087425408","3","all","TabM Ⓜ️","2026-04-23T08:27:27.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","43","tf-idf","false"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3","0.987298053225965","3","all","CatBoost 😸","2026-04-23T08:26:49.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","39","tf-idf","false"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3","0.9871329624895688","3","all","LightGBM 💡","2026-04-23T08:26:48.000Z","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","34","tf-idf","false"
