state,score,secs,epochs,dataset,model,fold
all,0.4232566668393757,9.1,,REG_TEXT_EDU_UDEMY_ACADEMY,light,2
ft,0.4520067165771593,68.5,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,light,2
no_text,0.32655388665647944,2.0,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,2
text_only,0.1757909203726411,22.0,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,2
all,0.467605595954908,28.7,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,2
ft,0.48072049370600933,31.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,cat,2
no_text,0.28953983627625546,4.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,2
text_only,0.1918038152987369,12.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,2
all,0.5147052236853767,22.9,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,2
ft,0.495763557890584,19.0,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,2
no_text,0.2503237838648166,1.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,3
text_only,0.2569588429545263,9.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,3
all,0.4807924764815811,9.5,,REG_TEXT_EDU_UDEMY_ACADEMY,light,3
ft,0.4329036302773983,69.7,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,light,3
no_text,0.25449523169929245,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,3
text_only,0.24232147099795387,16.0,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,3
all,0.4659776959802877,27.3,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,3
ft,0.4728593238260491,31.6,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,cat,3
no_text,0.25755609930692547,4.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,3
text_only,0.27829727077597566,13.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,3
all,0.46719518932369364,21.2,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,3
ft,0.45724947609561684,28.0,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,3
no_text,0.21974943873470598,1.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,4
text_only,0.08538945016847477,9.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,4
all,0.42516480462433415,9.1,,REG_TEXT_EDU_UDEMY_ACADEMY,light,4
ft,0.43289918901644775,69.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,light,4
no_text,0.25248568465823895,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,4
text_only,0.11449361792949975,20.2,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,4
all,0.40575738642096926,28.1,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,4
ft,0.4475905932549873,28.7,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,cat,4
no_text,0.28797098449144787,4.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,4
text_only,0.10085311689802978,14.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,4
all,0.41102302601192076,17.1,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,4
ft,0.4177396746655434,22.6,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,4
