ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99
Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99
Vigil: Blood Bitterness(tm),Jun 29 2007,61,129,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0
Alpha Prime,Nov 7 2007,59,984,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Vampire: The Masquerade - Bloodlines,Mar 22 2007,80,3983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
GUN(tm),Oct 13 2006,76,351,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Call of Duty(r),Oct 13 2006,91,851,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Call of Duty(r) 2,Oct 13 2006,86,1307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Call of Duty: United Offensive,Oct 13 2006,87,318,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,81,2579,False,False,False,False,False,False,True,False,True,False,False,False,False,False,19.99
Act of War: Direct Action,Mar 12 2008,82,109,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99
ARMA: Combat Operations,Mar 12 2008,74,181,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99
X2: The Threat,Jul 21 2006,72,183,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
X3: Reunion,Jul 21 2006,71,280,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
X3: Terran Conflict,Oct 16 2008,73,1262,False,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99
X: Beyond the Frontier,Oct 8 2010,67,136,False,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99
X Rebirth,Nov 15 2013,33,5637,False,False,False,True,False,False,False,False,True,False,False,False,False,False,29.99
Sub Command,Oct 26 2006,84,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
FlatOut 2(tm),Dec 21 2006,76,2870,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99
Xpand Rally,Aug 24 2006,82,116,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99
Call of Juarez(tm),Nov 8 2007,72,501,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Men of War: Red Tide,Nov 1 2009,77,228,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Kings Bounty: Armored Princess,Nov 19 2009,82,308,False,False,False,False,False,False,True,True,False,False,False,False,False,False,9.99
Painkiller: Black Edition,Jan 24 2007,81,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Genesis Rising,Aug 6 2007,57,103,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,69,321,False,False,False,False,True,True,False,False,False,False,False,False,False,False,4.99
Painkiller Overdose,Oct 30 2007,65,374,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Peggle(tm) Nights,Oct 15 2008,76,248,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99
Bejeweled Twist,Nov 18 2008,78,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,4.99
Plants vs. Zombies GOTY Edition,May 5 2009,87,6207,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Zumas Revenge!,Sep 15 2009,78,225,False,False,False,True,False,True,False,False,False,False,False,False,False,False,4.99
Sniper Elite,Jul 16 2009,76,866,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Judge Dredd: Dredd vs. Death,Mar 26 2009,55,425,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99
Evil Genius,Jun 22 2009,75,1195,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Advent Rising,Sep 14 2006,70,226,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
BloodRayne,Sep 14 2006,65,307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
BloodRayne 2,Sep 14 2006,67,224,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Psychonauts,Oct 11 2006,87,5130,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Sid Meiers Civilization(r) IV,Oct 25 2006,94,887,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99
Sid Meiers Civilization(r) III Complete,Oct 25 2006,90,1328,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Sid Meiers Pirates!,Jul 11 2005,88,1641,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99
Shattered Union,Oct 25 2006,67,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
CivCity: Rome,Apr 6 2007,67,143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Civilization IV(r): Warlords,Apr 6 2007,84,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
RoboBlitz,Nov 7 2006,80,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99
Silverfall,Mar 20 2007,62,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99
S.T.A.L.K.E.R.: Shadow of Chernobyl,Mar 20 2007,82,4657,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99
Full Spectrum Warrior,Jul 17 2007,80,104,False,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99
Full Spectrum Warrior: Ten Hammers,Jul 17 2007,70,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99
Titan Quest,Jun 26 2007,77,2218,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0
Titan Quest - Immortal Throne,Mar 5 2007,80,2216,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0
Company of Heroes,Jul 17 2007,93,3856,False,False,False,True,False,False,True,False,False,False,False,False,False,False,19.99
Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition,Aug 7 2007,86,2212,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99
Warhammer(r) 40000: Dawn of War(r) - Dark Crusade,Aug 7 2007,87,1715,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99
Medieval II: Total War(tm),Nov 27 2007,88,5418,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99
Condemned: Criminal Origins,Oct 29 2012,78,891,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.95
Rome: Total War(tm) - Collection,Aug 28 2007,92,5160,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Rome: Total War(tm) - Alexander,Aug 28 2007,79,266,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Medieval II: Total War(tm) Kingdoms,Nov 27 2007,85,549,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11.99
Heroes of Annihilated Empires,Nov 22 2006,65,153,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99
Cossacks: Back to War,Sep 2 2010,60,726,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Cossacks: Art of War,Aug 26 2011,74,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Cossacks: European Wars,Aug 26 2011,74,135,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Cossacks II: Battle for Europe,Aug 26 2011,69,223,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Natural Selection 2,Oct 30 2012,80,7873,False,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99
Natural Selection 2,Oct 30 2012,80,7873,False,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99
STAR WARS(tm) Republic Commando(tm),Jul 8 2009,78,3763,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
STAR WARS(tm) Jedi Knight - Jedi Academy(tm),Sep 16 2009,81,3535,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),Sep 16 2009,89,1433,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
STAR WARS(tm) Battlefront(tm) II,Jul 8 2009,78,16580,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Thrillville(r): Off the Rails(tm),Jul 8 2009,70,151,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Armed and Dangerous(r),Jul 8 2009,78,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5.99
Shank,Oct 25 2010,67,1232,False,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99
Shank,Oct 25 2010,67,1232,False,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99
Ghost Master(r),Dec 21 2006,81,846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
FlatOut,Feb 2 2007,72,1241,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.49
Making History: The Calm & the Storm,Mar 13 2007,70,453,False,False,False,True,False,False,True,False,False,False,False,False,False,False,4.99
Ducati World Championship,Sep 21 2007,35,161,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99
Dreamfall: The Longest Journey,Jan 12 2007,75,397,False,False,False,False,True,False,False,True,False,False,False,False,False,False,19.99
The Longest Journey,May 1 2007,91,737,False,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99
Bloodline Champions,Oct 28 2011,79,1381,True,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0
Joint Task Force,Mar 27 2007,68,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99
Nexus - The Jupiter Incident,Jul 3 2007,77,333,False,False,True,False,False,False,True,False,True,False,False,False,False,False,9.99
Lost Planet(tm): Extreme Condition,Jun 26 2007,66,499,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99
Devil May Cry(r) 3 Special Edition,Jun 12 2007,66,1401,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Commandos 2: Men of Courage,Mar 15 2007,87,877,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99
Commandos 3: Destination Berlin,Mar 15 2007,72,415,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99
Hitman 2: Silent Assassin,Mar 15 2007,87,1144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Hitman: Blood Money,Mar 15 2007,82,3895,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.99
Battlestations: Midway,Mar 15 2007,76,214,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Just Cause,Mar 15 2007,75,1565,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Hitman: Codename 47,Mar 15 2007,73,1049,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Deus Ex: Game of the Year Edition,Mar 29 2007,90,3706,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Deus Ex: Invisible War,Mar 29 2007,80,679,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Thief: Deadly Shadows,Mar 29 2007,85,860,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.99
Tomb Raider: Legend,Mar 29 2007,82,921,False,False,False,True,True,False,False,False,False,False,False,False,False,False,6.99
Project: Snowblind,Mar 29 2007,76,110,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5.99
Rogue Trooper,Mar 29 2007,69,157,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Jade Empire(tm): Special Edition,Feb 27 2007,81,721,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14.99
Trackmania United Forever Star Edition,Apr 16 2008,80,633,False,False,False,False,False,False,False,False,False,False,False,False,True,False,29.99
Runaway A Road Adventure,Mar 14 2007,74,212,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Loki,Nov 5 2007,61,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99
X-Blades,Apr 30 2009,54,1846,False,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99
Two Worlds II,Feb 3 2011,76,3331,False,False,False,False,False,False,False,True,False,False,False,False,False,False,19.99
Sid Meiers Railroads!,May 4 2007,77,1097,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Railroad Tycoon 3,May 4 2007,80,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Railroad Tycoon II Platinum,May 4 2007,89,296,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
BioShock(tm),Aug 21 2007,96,16260,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99
X-COM: Enforcer,Sep 4 2008,65,201,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Men of War(tm),May 6 2009,80,1203,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Death Track(r): Resurrection,May 6 2009,53,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2.99
NecroVision,May 20 2009,63,506,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Call of Duty(r) 4: Modern Warfare(r),Nov 12 2007,92,5983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Tomb Raider: Anniversary,Jun 5 2007,83,1111,False,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99
Kane and Lynch: Dead Men(tm),Dec 13 2007,67,1136,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
Conflict: Denied Ops,Feb 8 2008,58,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5.99
Tomb Raider: Underworld,Nov 21 2008,80,1079,False,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99
Battlestations Pacific,May 13 2009,74,897,False,False,False,True,False,False,True,False,False,False,False,False,False,False,8.99
Just Cause 2,Mar 23 2010,84,27899,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99
Sam & Max 201: Ice Station Santa,May 16 2008,82,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Sam & Max 202: Moai Better Blues,May 16 2008,80,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Sam & Max 203: Night of the Raving Dead,May 16 2008,79,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Sam & Max 204: Chariots of the Dogs,May 16 2008,85,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Bone: Out From Boneville,Jun 17 2008,68,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Bone: The Great Cow Race,Jun 17 2008,76,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Strong Bads Cool Game for Attractive People: Season 1,Dec 18 2008,82,175,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99
Geometry Wars: Retro Evolved,Jun 18 2007,76,507,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3.99
EVE Online,Dec 15 2010,88,4269,False,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99
RACE 07,Oct 15 2007,83,1637,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3.99
Civilization IV: Beyond the Sword,Jul 24 2007,86,780,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
BioShock(r) 2,Feb 9 2010,88,7624,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
BioShock Infinite,Mar 25 2013,94,55512,False,False,False,True,False,False,False,False,False,False,False,False,False,False,29.99
Freedom Force,May 29 2009,90,242,False,False,False,False,False,False,True,True,False,False,False,False,False,False,4.99
Sid Meiers Civilization(r) V,Sep 21 2010,90,85750,False,False,False,False,False,False,True,False,False,False,False,False,False,False,29.99
Borderlands,Oct 26 2009,81,15545,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99
Return to Castle Wolfenstein,Aug 3 2007,88,1533,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
DOOM 3,Aug 3 2007,87,1645,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
RAGE,Oct 3 2011,79,8176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
RAGE,Oct 3 2011,79,8176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Company of Heroes: Opposing Fronts,Sep 24 2007,87,457,False,False,False,True,False,False,True,False,False,False,False,False,False,False,19.99
Supreme Commander,Sep 28 2011,86,782,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99
Supreme Commander: Forged Alliance,Sep 28 2011,81,2834,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99
Frontlines(tm): Fuel of War(tm),Feb 29 2008,73,438,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Saints Row 2,Jan 7 2009,72,6867,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Gish,Jul 20 2007,80,219,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99
Desperados 2: Coopers Revenge,Mar 12 2008,66,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Tycoon City: New York,Mar 12 2008,67,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9.99
Act of War: High Treason,Mar 12 2008,74,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99
Death to Spies,Mar 12 2008,69,450,False,False,False,True,True,False,False,False,False,False,False,False,False,False,4.99
Ghostbusters: The Videogame,Jun 16 2009,74,1518,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Champions Online,Jun 14 2011,72,2160,True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0
Star Trek Online,Jan 31 2012,76,7304,True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0
Test Drive Unlimited 2,February 2011,72,5972,False,False,False,False,False,False,False,False,False,False,False,False,True,False,19.99
Blade Kitten,May 22 2014,52,670,False,False,False,True,True,False,False,False,False,False,False,False,False,False,2.99
The UnderGarden,Nov 10 2010,67,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.99
Ghostbusters: Sanctum of Slime,Mar 23 2011,43,105,False,False,False,True,True,False,False,False,False,False,False,False,False,False,9.99
Call of Duty: World at War,Nov 18 2008,83,13072,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
TimeShift(tm),Jul 23 2009,71,571,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Prototype(tm),Jun 10 2009,79,2122,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99
Call of Duty(r): Modern Warfare(r) 2,Nov 11 2009,86,22223,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Call of Duty(r): Modern Warfare(r) 2,Nov 11 2009,86,22223,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Postal III,Feb 17 2012,24,1045,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
The Club(tm),Feb 20 2008,67,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
Empire: Total War(tm),Mar 3 2009,90,11234,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99
Space Siege,Aug 14 2008,60,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,14.99
Aliens vs. Predator(tm),Feb 16 2010,68,7194,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
Sherlock Holmes - Nemesis,Aug 7 2008,71,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9.99
Dracula Origin,Aug 7 2008,70,109,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Sherlock Holmes: The Mystery of the Mummy,Aug 6 2009,61,125,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Sherlock Holmes: The Awakened - Remastered Edition,Aug 6 2009,72,131,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Sherlock Holmes: The Silver Earring,Aug 6 2009,68,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99
Sherlock Holmes versus Jack the Ripper,Dec 23 2009,73,257,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9.99
Shadowgrounds Survivor,Nov 14 2007,79,465,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Pacific Storm,Jun 24 2008,67,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,7.99
Pacific Storm Allies,Aug 18 2008,60,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,7.99
Larva Mortus,Mar 19 2009,64,619,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.99
Nikopol: Secrets of the Immortals,Jul 30 2009,68,236,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4.99
Overlord(tm),Nov 12 2009,81,2050,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4.99
Soldiers: Heroes of World War II,Jul 3 2014,77,166,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Maelstrom: The Battle for Earth Begins,Feb 13 2009,58,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Hospital Tycoon,Feb 13 2009,51,349,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4.99
LUMINES(tm),Apr 18 2008,74,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.99
Grand Theft Auto III,Jan 6 2011,93,2768,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Grand Theft Auto: Vice City,Jan 10 2011,94,4866,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Grand Theft Auto: San Andreas,Jan 6 2011,93,14209,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
Manhunt,Jan 4 2008,75,555,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Max Payne,Jan 4 2008,89,2214,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Max Payne 2: The Fall of Max Payne,Jan 4 2008,86,1404,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Midnight Club 2,Jan 4 2008,81,384,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99
Bully: Scholarship Edition,Oct 21 2008,72,5797,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99
