state,score,secs,epochs,dataset,model,fold
ft,0.8736823153473695,70.8,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,1
no_text,0.8415851593017578,12.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,1
text_only,0.46698498725891113,46.2,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,1
all,0.8752454519271851,53.4,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,1
ft,0.8725184202194214,56.9,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,1
no_text,0.8512340784072876,12.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,1
text_only,0.47380465269088745,142.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,1
all,0.8789125680923462,148.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,1
ft,0.8779920935630798,427.1,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,1
no_text,0.8267849142717081,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,2
text_only,0.3983717388807878,34.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,2
all,0.8514715937636816,34.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,2
ft,0.852274448503465,284.1,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,2
no_text,0.8297759286836104,5.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,2
text_only,0.402000779944953,57.2,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,2
all,0.8602586788642608,66.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,2
ft,0.8569650405134337,71.5,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,2
no_text,0.830890417098999,22.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,2
text_only,0.41396063566207886,47.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,2
all,0.852797269821167,71.3,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,2
ft,0.8498383164405823,77.7,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,2
no_text,0.8386858105659485,12.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,2
text_only,0.4229928255081177,144.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,2
all,0.8636348843574524,149.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,2
ft,0.8629602193832397,426.9,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,2
no_text,0.8063219820537906,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,3
text_only,0.46321816368791646,34.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,3
all,0.844628649327911,34.4,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,3
ft,0.8479029174558036,284.6,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,3
no_text,0.816826596062478,5.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,3
text_only,0.46459462177566735,53.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,3
all,0.8543639960425635,66.2,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,3
ft,0.8535169748187315,74.1,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,3
no_text,0.8116967082023621,15.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,3
text_only,0.4623621702194214,47.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,3
all,0.8560695052146912,64.9,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,3
ft,0.8525323867797852,56.4,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,3
no_text,0.8244338035583496,12.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,3
text_only,0.4672396183013916,143.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,3
all,0.8620656728744507,150.2,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,3
ft,0.8598430752754211,426.0,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,3
no_text,0.7947264036731155,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,4
text_only,0.42029994332804554,33.9,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,4
all,0.8324803688755058,34.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,4
ft,0.8259204361449068,283.7,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,4
no_text,0.8003138438807809,4.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,4
text_only,0.4451325907679501,57.4,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,4
all,0.830942279857364,62.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,4
ft,0.8316702551851077,66.4,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,4
no_text,0.7978546023368835,13.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,4
text_only,0.4383646845817566,51.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,4
all,0.8371686935424805,63.4,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,4
ft,0.8374135494232178,63.9,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,4
no_text,0.8076293468475342,12.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,4
text_only,0.4586203694343567,142.9,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,4
all,0.8411256074905396,149.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,4
ft,0.8390306234359741,426.2,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,4
