model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,0,all,0.6598252827170427,125.62587571144104,10000,2000,11,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,0,all,0.6529609259592449,836.8585977554321,10000,2000,11,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,0,all,0.6680643152913717,1301.6021523475647,10000,2000,11,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,0,all,0.7027700606479322,838.5306496620178,10000,2000,11,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,1,all,0.56790004235867,2.658367395401001,10000,2000,11,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,1,all,0.6143728044603232,137.13671255111694,10000,2000,11,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,1,all,0.620999513929604,744.2296810150146,10000,2000,11,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,1,all,0.6297227990165912,1303.1206867694855,10000,2000,11,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,1,all,0.6689708941071915,839.5347325801849,10000,2000,11,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,2,all,0.5840048444935715,2.5339369773864746,10000,2000,11,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,2,all,0.6237613190253718,136.80396461486816,10000,2000,11,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,2,all,0.6203941516145978,736.25226521492,10000,2000,11,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,2,all,0.6364573420668957,1299.2339842319489,10000,2000,11,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,2,all,0.666187086602432,838.4908146858215,10000,2000,11,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,3,all,0.6063654942551526,2.5335240364074707,10000,2000,11,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,3,all,0.648768371622616,137.8545322418213,10000,2000,11,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,3,all,0.6603719756087281,891.9271159172058,10000,2000,11,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,3,all,0.6652633540352182,1297.5884656906128,10000,2000,11,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,3,all,0.704111150543459,839.2336010932922,10000,2000,11,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,4,all,0.5759450842138009,3.035736083984375,10000,2000,11,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,4,all,0.6084750708702211,136.12771224975586,10000,2000,11,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,4,all,0.6116993267072102,620.2028744220734,10000,2000,11,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,4,all,0.6269369305739145,1298.0571012496948,10000,2000,11,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,4,all,0.6556927126331178,835.0104632377625,10000,2000,11,REG,False
