ref,verdict,detail,no_text,all,text_only,delta_joint,secs
melissamonfared/board-games,PASS,"target=Complexity Average (nuniq=379 zmax=3.54) leaks_dropped=[] text=['Mechanics', 'Name'] n_num=6",0.5840176711206982,0.6227834384258129,0.5024069552509925,0.0388,423.7
shubhamchambhare/all-major-fields-courses-in-udemy-44k-courses,PASS,"target=Stars (nuniq=43 zmax=3.49) leaks_dropped=[] text=['Summary', 'Title'] n_num=2",0.735162963917747,0.7452024103285546,0.012517847756890577,0.01,498.3
neomatrix369/google-play-store-apps-extended,PASS,"target=sentiment_polarity_score (nuniq=5410 zmax=3.37) leaks_dropped=['original_Sentiment_Polarity'] text=['App', 'Translated_Review'] n_num=19",0.8733777735437279,0.9009954162763989,0.5840519916375091,0.0276,1456.9
mylesoneill/world-university-rankings,error,"MultimodalError: No text features found, irrelevant",0.9411129643207599,0.9411129643207599,,,5.7
rohiteng/apple-products-dataset-100k-rows-and-20-features,FAIL,"target=price (nuniq=85760 zmax=1.73) leaks_dropped=[] text=['dimensions_mm', 'model_name'] n_num=5 | all<=no_text, aborted before text_only",-0.03321340472481449,-0.04469432131357598,,,177.1
nomanmunir/daraz-perfumes,PASS,"target=rating (nuniq=172 zmax=4.41) leaks_dropped=[] text=['sold', 'seller', 'image'] n_num=3",-0.12990144003828918,-0.008773781011577109,-0.04546479467784281,0.0367,26.5
kaushiksuresh147/adidas-vs-nike,FAIL,"target=Listing Price (nuniq=78 zmax=4.90) leaks_dropped=[] text=['Description', 'Last Visited', 'Product Name'] n_num=4 | all<=no_text, aborted before text_only",0.9211902624026296,0.8162991096655449,,,354.0
anandshaw2001/airlines-reviews-and-rating,skip,no usable target (no numeric column qualified),,,,,0.6
rrokon/global-grocery-nutrition-dataset-2025,PASS,"target=ecoscore_score (nuniq=127 zmax=3.19) leaks_dropped=[] text=['brand', 'packaging_materials', 'product_name'] n_num=15",0.9691425336722679,0.9696828645110702,0.1189371955729166,0.0005,195.0
muhammadaqeelkabir/steam-games-dataset-steamspy-api,PASS,"target=appid (nuniq=9950 zmax=3.71) leaks_dropped=[] text=['developer', 'name', 'publisher'] n_num=11",0.47117279716428806,0.49472284878021966,0.1702111954357619,0.0236,462.1
aritra100/world-university-ranking,FAIL,"target=Overall Score (nuniq=12550 zmax=3.76) leaks_dropped=[] text=['Country', 'Female to Male Ratio', 'Name'] n_num=7",0.9987946702887629,0.9987396036407363,0.8461092543382175,-0.0001,1558.8
zsinghrahulk/recipe-reviews,FAIL,"target=recipe_number (nuniq=100 zmax=2.06) leaks_dropped=[] text=['recipe_name', 'text', 'user_name'] n_num=7",0.030187735752948863,0.9999998866185152,0.9999998834336864,0.0,2222.5
shubham2703/recipe-review-and-user-feedback-dataset,FAIL,"target=recipe_number (nuniq=100 zmax=2.06) leaks_dropped=[] text=['recipe_name', 'text', 'user_name'] n_num=7",0.030187735752948863,0.9999998752556316,0.999999878856398,-0.0,29.5
kartiksaini18/recipe-review-dataset-with-feedback-and-ratings,FAIL,"target=recipe_number (nuniq=100 zmax=2.06) leaks_dropped=[] text=['recipe_name', 'text', 'user_name'] n_num=7",0.030187735752948863,0.9999998866185152,0.9999998834336864,0.0,27.3
satyajeetkumarraj/recipe-reviews-dataset,FAIL,"target=recipe_number (nuniq=100 zmax=2.06) leaks_dropped=[] text=['recipe_name', 'text', 'user_name'] n_num=7",0.030187735752948863,0.9999998866185152,0.9999998834336864,0.0,27.6
joebeachcapital/recipe-reviews-and-user-feedback-dataset,FAIL,"target=recipe_number (nuniq=100 zmax=2.06) leaks_dropped=[] text=['recipe_name', 'text', 'user_name'] n_num=7",0.030187735752948863,0.9999998866185152,0.9999998834336864,0.0,27.8
motahareshokri/cookbook-reviews,FAIL,"target=rec_no (nuniq=100 zmax=2.06) leaks_dropped=[] text=['comment', 'rec_nm', 'user_nm'] n_num=7",0.9980299412002813,0.9999999884914381,0.9999965696531382,0.0,1527.1
rabieelkharoua/patient-ratings-identifying-best-drugs,skip,no usable target (no numeric column qualified),,,,,2.7
