state,score,secs,epochs,dataset,model,fold
text_only,0.3067496912681271,99.2,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,2
all,0.5909323452833821,112.9,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,2
ft,0.5958422839107338,123.4,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,2
no_text,0.5015896098180445,12.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,2
text_only,0.32094115439919346,114.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,2
all,0.5769386673685091,119.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,2
ft,0.582604197710707,117.6,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,2
no_text,0.5225982451343818,1.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,3
text_only,0.2589975410975883,74.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,3
all,0.5667712799104749,74.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,3
ft,0.570060727519629,855.1,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,light,3
no_text,0.5275401431752758,6.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,3
text_only,0.285803160413276,93.7,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,3
all,0.5784144208863582,102.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,3
ft,0.5793987596487065,113.4,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,3
no_text,0.5073693143440479,17.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,3
text_only,0.2905990436606468,94.7,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,3
all,0.5803815640466274,90.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,3
ft,0.5797801967848828,102.5,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,3
no_text,0.49988778677717427,1.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,4
text_only,0.26469176328166044,70.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,4
all,0.5473856302502775,70.2,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,4
ft,0.5534130166109514,770.7,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,light,4
no_text,0.5100967727759811,9.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,4
text_only,0.28118348399308823,88.8,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,4
all,0.5677429262745353,97.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,4
ft,0.5747215643710958,106.5,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,4
no_text,0.4872821194899518,10.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,4
text_only,0.2877333419382977,87.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,4
all,0.557789828565193,92.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,4
ft,0.5603417317392301,111.1,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,4
