"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime","train_peak_gpu_gb","train_peak_cpu_gb"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_2","0.6231822943412615","2","2026-04-08T01:26:05.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","92","3.12091064453125","3.1244659423828125"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6370806747018765","4","2026-04-08T00:36:09.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","all","dino-large","88","3.12091064453125","3.003520965576172"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_2","0.6380086631497882","2","2026-04-08T00:25:50.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","all","dino-large","92","3.12091064453125","3.2031211853027344"
"light_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6137222695784819","4","2026-04-07T23:35:53.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","86","3.12091064453125","3.0821762084960938"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6667606452600647","4","2026-04-07T22:36:58.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","324","17.71270751953125","6.773933410644531"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6997170563209119","3","2026-04-07T22:35:24.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","all","dino-large","89","3.12091064453125","3.31024169921875"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6664941761735934","1","2026-04-07T22:25:09.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","380","14.01739501953125","7.042713165283203"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6166991803672282","3","2026-04-07T21:35:24.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","89","3.14825439453125","3.1201858520507812"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_1","0.69220752642146","1","2026-04-07T21:24:53.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","all","dino-large","91","3.12091064453125","3.1712379455566406"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6947520894455443","4","2026-04-07T20:41:17.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","383","14.01739501953125","7.175079345703125"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6478970323861377","3","2026-04-07T20:35:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","352","17.71270751953125","6.79107666015625"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6779969985199212","1","2026-04-07T20:25:01.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","91","3.12091064453125","3.2501373291015625"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6750892625594747","4","2026-04-07T19:36:06.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","385","14.01739501953125","7.076416015625"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6073819026500438","3","2026-04-07T19:34:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","all","dino-large","89","3.12091064453125","3.183910369873047"
"light_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5437737274931396","2","2026-04-07T19:25:09.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","85","3.12091064453125","3.101085662841797"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_4","0.716395988270713","4","2026-04-07T18:35:13.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","all","dino-large","91","3.12091064453125","3.252849578857422"
"light_REG_IMAGE_AMAZON_BEST_SELLER_3","0.675979151016794","3","2026-04-07T18:29:18.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","350","17.69708251953125","6.925945281982422"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6626090192335753","1","2026-04-07T18:23:16.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","354","17.71270751953125","6.851966857910156"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6496807353535026","1","2026-04-07T18:21:42.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","90","3.14825439453125","3.1091842651367188"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6431044491156663","1","2026-04-07T18:15:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","363","17.69708251953125","7.055347442626953"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6437336147462478","1","2026-04-07T18:13:56.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","all","dino-large","90","3.12091064453125","3.225780487060547"
"light_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6322488169871816","1","2026-04-07T18:08:00.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","353","17.69708251953125","6.786685943603516"
"light_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6330327809157943","1","2026-04-07T18:06:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","86","3.12091064453125","3.111438751220703"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6720380831015751","0","2026-04-07T17:59:59.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","389","14.01739501953125","7.078105926513672"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_0","0.7212823382754769","0","2026-04-07T17:58:19.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","94","3.12091064453125","3.1972923278808594"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6961414683177767","0","2026-04-07T17:51:42.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","392","14.01739501953125","7.022281646728516"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_0","0.7427755493187551","0","2026-04-07T17:50:07.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","all","dino-large","92","3.12091064453125","3.1727523803710938"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6903528744570855","0","2026-04-07T17:44:38.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","324","17.71270751953125","6.84588623046875"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_0","0.7011124422118058","0","2026-04-07T17:42:58.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","94","3.14825439453125","3.173179626464844"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_0","0.7216060819951702","0","2026-04-07T17:37:34.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","319","17.69708251953125","7.037815093994141"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6661325128334382","0","2026-04-07T17:35:59.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","all","dino-large","88","3.12091064453125","3.231487274169922"
"light_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6835940923560835","0","2026-04-07T17:30:40.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","316","17.69708251953125","6.829669952392578"
"light_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6445357035552723","0","2026-04-07T17:29:10.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","86","3.12091064453125","3.1443862915039062"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_4","0.7440939465928752","4","2026-04-07T10:17:17.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1089","15.84161376953125","15.527366638183594"
"light_BIN_IMAGE_HATEFUL_MEME_2","0.7608742810884598","2","2026-04-07T10:08:53.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","410","3.12091064453125","6.7753753662109375"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_4","0.7475965735631029","4","2026-04-07T01:30:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","527","3.16949462890625","7.919013977050781"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_4","0.7622155438331015","4","2026-04-07T01:30:29.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1056","15.73590087890625","15.983989715576172"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_4","0.7570092221734276","4","2026-04-07T01:30:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","526","3.16949462890625","7.926506042480469"
"tabm_BIN_IMAGE_HATEFUL_MEME_4","0.761371632954323","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","507","3.19683837890625","7.414203643798828"
"cat_BIN_IMAGE_HATEFUL_MEME_4","0.7292606917423717","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1046","17.66168212890625","15.032939910888672"
"tabm_BIN_IMAGE_HATEFUL_MEME_4","0.7610859201803165","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1046","17.67730712890625","15.038410186767578"
"cat_BIN_IMAGE_HATEFUL_MEME_4","0.7395675155157909","4","2026-04-07T01:30:26.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","504","3.16949462890625","7.323036193847656"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_3","0.7716123195115369","3","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1130","15.73590087890625","15.922016143798828"
"light_BIN_IMAGE_HATEFUL_MEME_4","0.719747514563415","4","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1045","17.66168212890625","14.944580078125"
"light_BIN_IMAGE_HATEFUL_MEME_4","0.7242765911291476","4","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","499","3.16949462890625","7.354461669921875"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_3","0.766771075285316","3","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","530","3.16949462890625","7.905364990234375"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_3","0.7843529928413078","3","2026-04-07T01:30:19.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1135","15.73590087890625","15.934234619140623"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_3","0.788842387077317","3","2026-04-07T01:29:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","530","3.16949462890625","7.990821838378906"
"tabm_BIN_IMAGE_HATEFUL_MEME_3","0.7908794133364374","3","2026-04-07T01:29:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1048","17.67730712890625","15.048797607421877"
"tabm_BIN_IMAGE_HATEFUL_MEME_3","0.786784196909011","3","2026-04-07T01:29:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","504","3.19683837890625","7.367984771728516"
"cat_BIN_IMAGE_HATEFUL_MEME_3","0.7596573563102841","3","2026-04-07T01:29:20.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1050","17.66168212890625","15.094036102294922"
"cat_BIN_IMAGE_HATEFUL_MEME_3","0.7411865545684944","3","2026-04-07T01:29:13.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","502","3.16949462890625","7.369087219238281"
"light_BIN_IMAGE_HATEFUL_MEME_3","0.762477447209274","3","2026-04-07T01:29:12.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1046","17.66168212890625","14.989974975585938"
"light_BIN_IMAGE_HATEFUL_MEME_3","0.7298109533811991","3","2026-04-07T01:29:11.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","498","3.16949462890625","7.373035430908203"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_2","0.7669165771609674","2","2026-04-07T01:29:09.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1130","15.73590087890625","15.915164947509766"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_2","0.7794588388421226","2","2026-04-07T01:29:08.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","527","3.16949462890625","7.984958648681641"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_2","0.7905487272554113","2","2026-04-07T01:29:08.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1129","15.73590087890625","15.966434478759766"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_2","0.8013529028946936","2","2026-04-07T01:29:06.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","527","3.16949462890625","7.973735809326172"
"tabm_BIN_IMAGE_HATEFUL_MEME_2","0.7982021259146777","2","2026-04-07T01:28:59.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1049","17.67730712890625","14.91048812866211"
"tabm_BIN_IMAGE_HATEFUL_MEME_2","0.7940328358051015","2","2026-04-07T01:28:57.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","504","3.19683837890625","7.375312805175781"
"cat_BIN_IMAGE_HATEFUL_MEME_2","0.7647419854921402","2","2026-04-07T01:28:46.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1049","17.66168212890625","14.93264389038086"
"cat_BIN_IMAGE_HATEFUL_MEME_2","0.7694985740816187","2","2026-04-07T01:28:37.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","503","3.16949462890625","7.365932464599609"
"light_BIN_IMAGE_HATEFUL_MEME_2","0.7706467161549411","2","2026-04-07T01:28:35.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1051","17.66168212890625","14.90361785888672"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_0","0.7989031804064529","0","2026-04-06T20:13:12.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1037","27.42535400390625","15.456062316894531"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_1","0.781575229760689","1","2026-04-06T19:38:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","2078","43.71246337890625","15.510536193847656"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_1","0.7653425114152835","1","2026-04-06T19:26:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","717","22.84332275390625","7.483936309814453"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_1","0.79159898624875","1","2026-04-06T18:52:56.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","2006","27.5179443359375","15.422618865966797"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_1","0.7831651684382622","1","2026-04-06T18:41:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","682","14.93707275390625","7.441654205322266"
"tabm_BIN_IMAGE_HATEFUL_MEME_1","0.7900011111052323","1","2026-04-06T18:07:37.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","2023","30.66168212890625","14.540630340576172"
"tabm_BIN_IMAGE_HATEFUL_MEME_1","0.7883238713022682","1","2026-04-06T17:56:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","661","16.03082275390625","6.926609039306641"
"cat_BIN_IMAGE_HATEFUL_MEME_1","0.7768794874101195","1","2026-04-06T17:23:15.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1988","30.64605712890625","14.706783294677734"
"cat_BIN_IMAGE_HATEFUL_MEME_1","0.7548848947889164","1","2026-04-06T17:12:55.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","615","11.51910400390625","6.991474151611328"
"light_BIN_IMAGE_HATEFUL_MEME_1","0.7603769292225967","1","2026-04-06T16:43:55.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1735","26.78082275390625","14.533878326416016"
"light_BIN_IMAGE_HATEFUL_MEME_1","0.7464087491600574","1","2026-04-06T16:33:39.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","611","16.23199462890625","6.923286437988281"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_0","0.7930963328236359","0","2026-04-06T16:06:37.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1617","24.23590087890625","15.482749938964844"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_0","0.7756837265411294","0","2026-04-06T15:56:24.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","607","16.23004150390625","7.508583068847656"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_0","0.785411188300591","0","2026-04-06T14:33:51.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","645","18.7991943359375","7.446147918701172"
"tabm_BIN_IMAGE_HATEFUL_MEME_0","0.797292077819694","0","2026-04-06T14:02:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1878","34.44293212890625","14.538009643554688"
"tabm_BIN_IMAGE_HATEFUL_MEME_0","0.8010275077909641","0","2026-04-06T13:51:48.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","637","19.82769775390625","6.905002593994141"
"cat_BIN_IMAGE_HATEFUL_MEME_0","0.7703186755625632","0","2026-04-06T13:21:35.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1808","37.89410400390625","14.771312713623049"
"cat_BIN_IMAGE_HATEFUL_MEME_0","0.7583663578499584","0","2026-04-06T13:11:07.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","624","26.78472900390625","6.955532073974609"
"light_BIN_IMAGE_HATEFUL_MEME_0","0.7545780181057242","0","2026-04-06T12:40:18.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1841","41.48590087890625","14.52749252319336"
"light_BIN_IMAGE_HATEFUL_MEME_0","0.7408532229988201","0","2026-04-06T12:30:07.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","607","11.27301025390625","6.920116424560547"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9894911168539784","4","2026-04-02T22:32:49.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2175","14.8291015625","23.62129592895508"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.988654358508712","4","2026-04-02T22:32:32.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2170","14.8291015625","23.579914093017575"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9329939065433058","4","2026-04-02T22:02:12.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1612","14.8291015625","24.879955291748047"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9176000981837188","4","2026-04-02T22:00:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","524","2.6572265625","11.856700897216797"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9926805844961706","3","2026-04-02T21:56:06.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2194","14.8291015625","23.598369598388672"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9930012644890708","3","2026-04-02T21:55:44.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2199","14.8291015625","23.62455368041992"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.928854944027892","4","2026-04-02T21:54:33.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1628","14.8291015625","24.70409393310547"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9410396740528292","4","2026-04-02T21:52:58.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","546","2.6572265625","11.868999481201172"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9274403433296348","4","2026-04-02T21:52:50.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1412","16.7431640625","22.886531829833984"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.925102184520216","4","2026-04-02T21:51:56.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","510","2.6845703125","10.784778594970703"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9227229174131188","4","2026-04-02T21:51:16.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1470","16.7294921875","22.9384765625"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9269246517477994","4","2026-04-02T21:50:12.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","524","2.6572265625","10.77617645263672"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9128391477343204","4","2026-04-02T21:47:22.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1491","16.7294921875","23.03127670288086"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9328399409587766","4","2026-04-02T21:43:34.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","495","2.6572265625","10.779899597167969"
