"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","train_peak_gpu_gb","train_peak_cpu_gb"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5910666580171583","3","all","TabM Ⓜ️","2026-04-06T23:14:23.000Z","REG_IMAGE_AMAZON_BEST_SELLER","46","1.43145751953125","3.087249755859375"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5486686482641578","3","ft","CatBoost 😸","2026-04-06T23:13:55.000Z","REG_IMAGE_AMAZON_BEST_SELLER","140","5.46466064453125","6.8236846923828125"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5156327687222022","3","all","CatBoost 😸","2026-04-06T23:13:17.000Z","REG_IMAGE_AMAZON_BEST_SELLER","50","1.43145751953125","2.987682342529297"
"light_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5298631732602432","3","ft","LightGBM 💡","2026-04-06T23:12:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","116","1.43145751953125","6.631351470947266"
"light_REG_IMAGE_AMAZON_BEST_SELLER_3","0.46030106735432275","3","all","LightGBM 💡","2026-04-06T23:11:37.000Z","REG_IMAGE_AMAZON_BEST_SELLER","38","1.43145751953125","3.1003952026367188"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5318910465803861","2","ft","TabPFN-v2 🤯","2026-04-06T23:10:41.000Z","REG_IMAGE_AMAZON_BEST_SELLER","164","2.24591064453125","7.0080108642578125"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5464467416027768","2","all","TabPFN-v2 🤯","2026-04-06T23:10:12.000Z","REG_IMAGE_AMAZON_BEST_SELLER","38","1.43145751953125","3.2971458435058594"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5567659044880178","2","ft","TabPFN-v2p5 🇩🇪","2026-04-06T23:09:19.000Z","REG_IMAGE_AMAZON_BEST_SELLER","177","5.48419189453125","7.052219390869141"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5559980053370954","2","all","TabPFN-v2p5 🇩🇪","2026-04-06T23:08:32.000Z","REG_IMAGE_AMAZON_BEST_SELLER","40","5.46466064453125","3.2659149169921875"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5766182610342523","2","ft","TabM Ⓜ️","2026-04-06T23:08:12.000Z","REG_IMAGE_AMAZON_BEST_SELLER","117","5.48419189453125","6.725166320800781"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.4903931427265916","2","all","TabM Ⓜ️","2026-04-06T23:07:40.000Z","REG_IMAGE_AMAZON_BEST_SELLER","50","5.46466064453125","3.166553497314453"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5336002465356211","2","ft","CatBoost 😸","2026-04-06T23:06:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","107","5.46466064453125","6.880168914794922"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_2","0.4810936627057062","2","all","CatBoost 😸","2026-04-06T23:06:05.000Z","REG_IMAGE_AMAZON_BEST_SELLER","38","1.54473876953125","3.2135162353515625"
"light_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5075562327052503","2","ft","LightGBM 💡","2026-04-06T23:05:15.000Z","REG_IMAGE_AMAZON_BEST_SELLER","154","5.50762939453125","6.6473236083984375"
"light_REG_IMAGE_AMAZON_BEST_SELLER_2","0.44477825629209145","2","all","LightGBM 💡","2026-04-06T23:04:28.000Z","REG_IMAGE_AMAZON_BEST_SELLER","40","5.47442626953125","3.0643539428710938"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5850811456702176","1","ft","TabPFN-v2 🤯","2026-04-06T23:04:00.000Z","REG_IMAGE_AMAZON_BEST_SELLER","119","5.47442626953125","6.824504852294922"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5805790052224651","1","all","TabPFN-v2 🤯","2026-04-06T23:03:18.000Z","REG_IMAGE_AMAZON_BEST_SELLER","39","1.43145751953125","3.221477508544922"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5919832863683933","1","ft","TabPFN-v2p5 🇩🇪","2026-04-06T23:02:12.000Z","REG_IMAGE_AMAZON_BEST_SELLER","129","2.24591064453125","7.080028533935547"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6049611292721373","1","all","TabPFN-v2p5 🇩🇪","2026-04-06T23:01:29.000Z","REG_IMAGE_AMAZON_BEST_SELLER","38","1.45684814453125","3.3017539978027344"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5617333970042073","1","ft","TabM Ⓜ️","2026-04-06T23:01:11.000Z","REG_IMAGE_AMAZON_BEST_SELLER","160","1.75762939453125","6.7653961181640625"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5363797424867345","1","all","TabM Ⓜ️","2026-04-06T23:00:32.000Z","REG_IMAGE_AMAZON_BEST_SELLER","55","5.46466064453125","3.17132568359375"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5644464515319132","1","ft","CatBoost 😸","2026-04-06T22:59:11.000Z","REG_IMAGE_AMAZON_BEST_SELLER","128","5.46466064453125","6.856437683105469"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_1","0.49660912897178655","1","all","CatBoost 😸","2026-04-06T22:58:54.000Z","REG_IMAGE_AMAZON_BEST_SELLER","66","5.46466064453125","3.3188934326171875"
"light_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5413129409012707","1","ft","LightGBM 💡","2026-04-06T22:58:00.000Z","REG_IMAGE_AMAZON_BEST_SELLER","144","5.50762939453125","6.739402770996094"
"light_REG_IMAGE_AMAZON_BEST_SELLER_1","0.46848407669958425","1","all","LightGBM 💡","2026-04-06T22:57:19.000Z","REG_IMAGE_AMAZON_BEST_SELLER","42","5.47442626953125","3.210193634033203"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5799158790713963","0","ft","TabPFN-v2 🤯","2026-04-06T22:56:28.000Z","REG_IMAGE_AMAZON_BEST_SELLER","140","5.47442626953125","7.047962188720703"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6456463970474953","0","all","TabPFN-v2 🤯","2026-04-06T22:55:41.000Z","REG_IMAGE_AMAZON_BEST_SELLER","42","1.43145751953125","3.069225311279297"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5873912722830461","0","ft","TabPFN-v2p5 🇩🇪","2026-04-06T22:54:41.000Z","REG_IMAGE_AMAZON_BEST_SELLER","177","5.47442626953125","7.005821228027344"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6695542393552912","0","all","TabPFN-v2p5 🇩🇪","2026-04-06T22:53:50.000Z","REG_IMAGE_AMAZON_BEST_SELLER","41","1.43145751953125","3.2997398376464844"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6323788841926573","0","ft","TabM Ⓜ️","2026-04-06T22:53:18.000Z","REG_IMAGE_AMAZON_BEST_SELLER","166","5.46466064453125","6.571388244628906"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6237204602496568","0","all","TabM Ⓜ️","2026-04-06T22:52:49.000Z","REG_IMAGE_AMAZON_BEST_SELLER","49","5.46466064453125","2.946739196777344"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6119412816066834","0","ft","CatBoost 😸","2026-04-06T22:51:50.000Z","REG_IMAGE_AMAZON_BEST_SELLER","116","5.46466064453125","6.745281219482422"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5960760665983362","0","all","CatBoost 😸","2026-04-06T22:50:52.000Z","REG_IMAGE_AMAZON_BEST_SELLER","51","1.43145751953125","3.1096763610839844"
"light_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6074260336976972","0","ft","LightGBM 💡","2026-04-06T22:50:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","120","5.46466064453125","6.693454742431641"
"light_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5350131713406655","0","all","LightGBM 💡","2026-04-06T22:49:58.000Z","REG_IMAGE_AMAZON_BEST_SELLER","43","0.652587890625","3.102771759033203"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7470648303448129","4","ft","TabPFN-v2 🤯","2026-04-04T14:15:14.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","480","8.20269775390625","14.837989807128906"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7437341601367189","4","all","TabPFN-v2 🤯","2026-04-04T14:13:00.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","289","3.67340087890625","7.334621429443359"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7582975751451051","4","ft","TabPFN-v2p5 🇩🇪","2026-04-04T14:10:46.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","491","8.40386962890625","15.126495361328123"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7542208771382162","4","all","TabPFN-v2p5 🇩🇪","2026-04-04T14:10:10.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","272","3.69683837890625","7.349521636962891"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.760927190861424","4","ft","TabM Ⓜ️","2026-04-04T14:07:23.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","539","26.60894775390625","14.48660659790039"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7645197644456908","4","all","TabM Ⓜ️","2026-04-04T14:06:04.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","258","4.51715087890625","6.799114227294922"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7316945412987234","4","ft","CatBoost 😸","2026-04-04T14:03:16.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","468","5.46856689453125","14.30389404296875"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.729556986470971","4","all","CatBoost 😸","2026-04-04T14:02:41.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","255","16.2640380859375","6.956260681152344"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7041285495843936","4","ft","LightGBM 💡","2026-04-04T14:01:09.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","443","7.58355712890625","13.848342895507812"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_4","0.7071285337114618","4","all","LightGBM 💡","2026-04-04T13:58:17.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","272","1.43145751953125","6.913341522216797"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7708874556219278","3","ft","TabPFN-v2 🤯","2026-04-04T13:57:38.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","489","8.20269775390625","14.832454681396484"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7531547452129883","3","all","TabPFN-v2 🤯","2026-04-04T13:56:01.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","287","3.67340087890625","7.341083526611328"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7998264559446776","3","ft","TabPFN-v2p5 🇩🇪","2026-04-04T13:53:26.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","489","8.40386962890625","15.12640380859375"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7756810810524812","3","all","TabPFN-v2p5 🇩🇪","2026-04-04T13:52:39.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","272","3.69683837890625","7.343196868896484"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7972285860921371","3","ft","TabM Ⓜ️","2026-04-04T13:50:32.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","462","5.48223876953125","14.282493591308594"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7745197115359178","3","all","TabM Ⓜ️","2026-04-04T13:48:38.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","259","4.51715087890625","6.785182952880859"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7601917450172222","3","ft","CatBoost 😸","2026-04-04T13:46:24.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","419","18.3343505859375","14.696403503417969"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7424934259607092","3","all","CatBoost 😸","2026-04-04T13:45:33.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","274","1.43145751953125","7.110080718994141"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7580330262802842","3","ft","LightGBM 💡","2026-04-04T13:44:15.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","440","7.58355712890625","13.850200653076172"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_3","0.7322765488013291","3","all","LightGBM 💡","2026-04-04T13:42:18.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","226","1.63787841796875","6.888191223144531"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7577658319268152","2","ft","TabPFN-v2 🤯","2026-04-04T13:40:22.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","475","8.20269775390625","14.823654174804688"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7557631970201216","2","all","TabPFN-v2 🤯","2026-04-04T13:39:12.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","282","3.67340087890625","7.310394287109375"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7866148856355258","2","ft","TabPFN-v2p5 🇩🇪","2026-04-04T13:36:22.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","471","6.54254150390625","15.106853485107422"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.782236601922741","2","all","TabPFN-v2p5 🇩🇪","2026-04-04T13:34:30.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","274","3.67340087890625","7.380302429199219"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7924878704345479","2","ft","TabM Ⓜ️","2026-04-04T13:32:50.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","463","5.48223876953125","14.02517318725586"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7443452680144549","0","ft","LightGBM 💡","2026-04-04T13:32:31.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","441","4.51910400390625","13.840675354003906"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7346892344484951","0","all","LightGBM 💡","2026-04-04T13:31:44.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","253","2.63433837890625","6.811107635498047"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7887259855767959","2","all","TabM Ⓜ️","2026-04-04T13:30:08.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","256","3.69488525390625","6.827720642089844"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7528531595070925","2","ft","CatBoost 😸","2026-04-04T13:27:50.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","387","5.67498779296875","14.71892547607422"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7587631811471898","2","all","CatBoost 😸","2026-04-04T13:27:07.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","252","2.50347900390625","6.802532196044922"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7418373447759536","2","ft","LightGBM 💡","2026-04-04T13:24:46.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","442","7.63433837890625","13.91606903076172"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_2","0.7512605753408712","2","all","LightGBM 💡","2026-04-04T13:23:41.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","271","1.43145751953125","6.928951263427734"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7690461955227749","1","ft","TabPFN-v2 🤯","2026-04-04T13:20:10.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","436","5.67303466796875","15.41635513305664"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7479510690419628","1","all","TabPFN-v2 🤯","2026-04-04T13:19:42.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","284","7.58160400390625","7.348274230957031"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7665885365685896","1","ft","TabPFN-v2p5 🇩🇪","2026-04-04T13:17:26.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","501","7.58160400390625","14.81087875366211"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7643478076835571","1","all","TabPFN-v2p5 🇩🇪","2026-04-04T13:15:38.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","247","1.63787841796875","7.472587585449219"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7831598774609658","1","ft","TabM Ⓜ️","2026-04-04T13:13:57.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","481","6.42535400390625","14.157829284667969"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7685091613271887","1","all","TabM Ⓜ️","2026-04-04T13:12:43.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","255","3.69488525390625","6.783626556396484"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7492605859228259","1","ft","CatBoost 😸","2026-04-04T13:11:08.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","457","5.46856689453125","14.29336929321289"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7327209908942282","1","all","CatBoost 😸","2026-04-04T13:09:15.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","256","2.50347900390625","6.78338623046875"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7467632446389172","1","ft","LightGBM 💡","2026-04-04T13:07:41.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","460","10.60504150390625","13.890514373779297"
"light_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_1","0.7215041190258252","1","all","LightGBM 💡","2026-04-04T13:06:09.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","271","1.43145751953125","6.918792724609375"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7835408278263079","0","ft","TabPFN-v2 🤯","2026-04-04T13:04:22.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","495","7.58160400390625","14.800697326660156"
"tabpfnv2_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7678451436764885","0","all","TabPFN-v2 🤯","2026-04-04T13:02:33.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","285","7.58160400390625","7.374298095703125"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7934746377003296","0","ft","TabPFN-v2p5 🇩🇪","2026-04-04T13:00:55.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","419","5.67303466796875","15.42282485961914"
"tabpfnv2p5_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7787604298389956","0","all","TabPFN-v2p5 🇩🇪","2026-04-04T12:59:40.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","277","3.67340087890625","7.262664794921875"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7877577367315516","0","ft","TabM Ⓜ️","2026-04-04T12:55:03.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","443","3.70660400390625","13.903968811035156"
"tabm_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7708953920878725","0","all","TabM Ⓜ️","2026-04-04T12:54:50.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","385","1.50372314453125","6.942531585693359"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7617102555012936","0","ft","CatBoost 😸","2026-04-04T12:54:47.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","545","11.06597900390625","14.183242797851562"
"cat_BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME_0","0.7453822995645526","0","all","CatBoost 😸","2026-04-04T12:50:46.000Z","BIN_IMAGE_SOCIAL_FACEBOOK_HATEFUL_MEME","247","3.67340087890625","6.775093078613281"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.9202447060575164","3","ft","TabPFN-v2p5 🇩🇪","2026-04-02T12:49:13.000Z","MUL_IMAGE_CBIS_DDSM","433","26.84942626953125","5.092857360839844"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.8983440814676432","3","all","TabPFN-v2p5 🇩🇪","2026-04-02T12:44:28.000Z","MUL_IMAGE_CBIS_DDSM","257","26.84942626953125","2.7769622802734375"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8901348385003358","4","ft","TabPFN-v2 🤯","2026-04-02T12:37:56.000Z","MUL_IMAGE_CBIS_DDSM","436","2.62652587890625","4.93505859375"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8712746089887881","4","all","TabPFN-v2 🤯","2026-04-02T12:37:22.000Z","MUL_IMAGE_CBIS_DDSM","253","2.93121337890625","2.6374778747558594"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8980414058609585","4","ft","TabPFN-v2p5 🇩🇪","2026-04-02T12:36:04.000Z","MUL_IMAGE_CBIS_DDSM","434","26.84942626953125","5.073944091796875"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8812596190629216","4","all","TabPFN-v2p5 🇩🇪","2026-04-02T12:33:17.000Z","MUL_IMAGE_CBIS_DDSM","256","2.39996337890625","2.670124053955078"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.9129217111371216","3","ft","TabPFN-v2 🤯","2026-04-02T12:32:54.000Z","MUL_IMAGE_CBIS_DDSM","426","26.84942626953125","5.086750030517578"
