"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","State","train_peak_cpu_gb","train_peak_gpu_gb"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.9845575000501616","3","ft","TabM Ⓜ️","2026-04-03T19:59:59.000Z","REG_TEXT_MONTGOMERY_SALARIES","3159","finished","1.82818603515625","16.7958984375"
"tabm_MUL_TEXT_US_ACCIDENTS_4","0.9845166427971096","4","ft","TabM Ⓜ️","2026-04-03T10:08:42.000Z","MUL_TEXT_US_ACCIDENTS","4944","finished","1.881507873535156","20.7509765625"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.9844890775795728","4","all","TabPFN-v2p5 🇩🇪","2026-04-03T10:14:58.000Z","MUL_TEXT_US_ACCIDENTS","632","finished","1.9499549865722656","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_4","0.9839564215754608","4","ft","CatBoost 😸","2026-04-03T10:06:20.000Z","MUL_TEXT_US_ACCIDENTS","5062","finished","2.2586097717285156","20.7353515625"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9839557078860668","0","ft","CatBoost 😸","2026-04-03T19:02:02.000Z","REG_TEXT_MONTGOMERY_SALARIES","1910","finished","1.969764709472656","16.7861328125"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.983838163984338","4","ft","TabM Ⓜ️","2026-04-03T03:44:36.000Z","MUL_TEXT_WINE_REVIEW","2770","finished","1.7789230346679688","15.9169921875"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.9836900786038568","2","ft","TabM Ⓜ️","2026-04-03T03:05:00.000Z","MUL_TEXT_WINE_REVIEW","2659","finished","1.810077667236328","15.9150390625"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_0","0.9835949532961082","0","all","TabM Ⓜ️","2026-04-03T19:06:08.000Z","REG_TEXT_MONTGOMERY_SALARIES","244","finished","1.7789421081542969","1.1748046875"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_1","0.9832171692316912","1","ft","TabPFN-v2 🤯","2026-04-03T08:56:30.000Z","MUL_TEXT_US_ACCIDENTS","4227","finished","2.238861083984375","17.1025390625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_0","0.9830788556147724","0","all","TabPFN-v2 🤯","2026-04-03T19:13:27.000Z","REG_TEXT_MONTGOMERY_SALARIES","251","finished","2.271862030029297","1.0986328125"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.9829117872130656","3","ft","CatBoost 😸","2026-04-03T19:56:00.000Z","REG_TEXT_MONTGOMERY_SALARIES","3166","finished","1.9726409912109375","16.7861328125"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_0","0.982771681278946","0","ft","TabPFN-v2 🤯","2026-04-03T08:26:28.000Z","MUL_TEXT_US_ACCIDENTS","5769","finished","2.2303237915039062","17.1025390625"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.9827628882773558","0","all","TabPFN-v2p5 🇩🇪","2026-04-03T08:20:06.000Z","MUL_TEXT_US_ACCIDENTS","631","finished","1.9473609924316408","1.0986328125"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9826700712936774","4","ft","CatBoost 😸","2026-04-03T03:38:07.000Z","MUL_TEXT_WINE_REVIEW","3087","finished","2.0262985229492188","15.9072265625"
"light_MUL_TEXT_US_ACCIDENTS_4","0.9825921983925524","4","ft","LightGBM 💡","2026-04-03T10:03:10.000Z","MUL_TEXT_US_ACCIDENTS","4958","finished","1.8574104309082031","20.7353515625"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.9824613908370916","3","ft","TabM Ⓜ️","2026-04-03T03:18:09.000Z","MUL_TEXT_WINE_REVIEW","2086","finished","1.7927284240722656","15.9169921875"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.9821304144972663","3","all","TabM Ⓜ️","2026-04-03T19:59:33.000Z","REG_TEXT_MONTGOMERY_SALARIES","232","finished","1.7475128173828125","1.1748046875"
"cat_MUL_TEXT_WINE_REVIEW_3","0.9820413538206678","3","ft","CatBoost 😸","2026-04-03T03:12:57.000Z","MUL_TEXT_WINE_REVIEW","2564","finished","2.02139663696289","15.9072265625"
"cat_MUL_TEXT_WINE_REVIEW_2","0.9817398341896002","2","ft","CatBoost 😸","2026-04-03T03:02:57.000Z","MUL_TEXT_WINE_REVIEW","2949","finished","2.0411643981933594","15.9072265625"
"tabm_MUL_TEXT_WINE_REVIEW_1","0.9817058131992138","1","ft","TabM Ⓜ️","2026-04-03T02:54:50.000Z","MUL_TEXT_WINE_REVIEW","2755","finished","1.7744178771972656","15.9169921875"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9814263322193396","0","all","CatBoost 😸","2026-04-03T19:01:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","288","finished","1.9017486572265625","1.0986328125"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.9811580717218736","0","ft","LightGBM 💡","2026-04-03T18:59:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","1843","finished","1.735248565673828","16.7861328125"
"cat_MUL_TEXT_WINE_REVIEW_1","0.9808372086998622","1","ft","CatBoost 😸","2026-04-03T02:47:04.000Z","MUL_TEXT_WINE_REVIEW","3058","finished","2.0153045654296875","15.9072265625"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.980829056175702","4","all","TabPFN-v2 🤯","2026-04-03T10:20:12.000Z","MUL_TEXT_US_ACCIDENTS","650","finished","2.05303955078125","1.0986328125"
"tabm_MUL_TEXT_WINE_REVIEW_0","0.9807050834286398","0","ft","TabM Ⓜ️","2026-04-03T02:23:30.000Z","MUL_TEXT_WINE_REVIEW","2758","finished","1.7710456848144531","15.9150390625"
"tabm_MUL_TEXT_US_ACCIDENTS_0","0.9803972247439164","0","ft","TabM Ⓜ️","2026-04-03T08:16:14.000Z","MUL_TEXT_US_ACCIDENTS","4034","finished","1.8766822814941408","20.7490234375"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.98035016159972","2","all","TabM Ⓜ️","2026-04-03T03:04:44.000Z","MUL_TEXT_WINE_REVIEW","156","finished","1.7310333251953125","1.1845703125"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9803230074052904","4","ft","TabPFN-v2p5 🇩🇪","2026-04-03T20:17:06.000Z","REG_TEXT_MONTGOMERY_SALARIES","3647","finished","1.8620033264160156","21.7197265625"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_1","0.9800503284197384","1","ft","TabPFN-v2p5 🇩🇪","2026-04-03T08:51:03.000Z","MUL_TEXT_US_ACCIDENTS","4207","finished","2.1240806579589844","17.1025390625"
"cat_MUL_TEXT_WINE_REVIEW_0","0.9800370471049392","0","ft","CatBoost 😸","2026-04-03T02:17:37.000Z","MUL_TEXT_WINE_REVIEW","3183","finished","2.024944305419922","15.9072265625"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_3","0.9798168647378318","3","ft","TabPFN-v2p5 🇩🇪","2026-04-03T09:55:36.000Z","MUL_TEXT_US_ACCIDENTS","3209","finished","2.1195831298828125","17.1025390625"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.9793748921820786","4","all","TabM Ⓜ️","2026-04-03T03:41:34.000Z","MUL_TEXT_WINE_REVIEW","155","finished","1.7340049743652344","1.1845703125"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.9790721300098124","0","all","LightGBM 💡","2026-04-03T18:59:15.000Z","REG_TEXT_MONTGOMERY_SALARIES","215","finished","1.509845733642578","1.0986328125"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.9789370260381391","3","ft","LightGBM 💡","2026-04-03T19:53:48.000Z","REG_TEXT_MONTGOMERY_SALARIES","3121","finished","1.735809326171875","16.7861328125"
"light_MUL_TEXT_WINE_REVIEW_4","0.9789239145482108","4","ft","LightGBM 💡","2026-04-03T03:27:34.000Z","MUL_TEXT_WINE_REVIEW","2766","finished","1.784759521484375","15.9072265625"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.9786893870889656","3","all","CatBoost 😸","2026-04-03T19:55:11.000Z","REG_TEXT_MONTGOMERY_SALARIES","281","finished","1.8909835815429688","1.0986328125"
"light_MUL_TEXT_US_ACCIDENTS_0","0.9784505875798024","0","ft","LightGBM 💡","2026-04-03T08:04:12.000Z","MUL_TEXT_US_ACCIDENTS","4026","finished","1.8172645568847656","20.7353515625"
"cat_MUL_TEXT_US_ACCIDENTS_0","0.9783033087622208","0","ft","CatBoost 😸","2026-04-03T08:15:27.000Z","MUL_TEXT_US_ACCIDENTS","4161","finished","2.2262649536132812","20.7353515625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.978104777580418","4","ft","TabPFN-v2 🤯","2026-04-03T20:20:50.000Z","REG_TEXT_MONTGOMERY_SALARIES","3669","finished","2.4428443908691406","21.7197265625"
"light_MUL_TEXT_US_ACCIDENTS_2","0.9780238494583542","2","ft","LightGBM 💡","2026-04-03T09:02:36.000Z","MUL_TEXT_US_ACCIDENTS","5423","finished","1.870586395263672","20.7353515625"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_3","0.9778422720655","3","ft","TabPFN-v2 🤯","2026-04-03T09:58:25.000Z","MUL_TEXT_US_ACCIDENTS","3215","finished","2.2310867309570312","17.1025390625"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_0","0.97771605439887","0","all","TabPFN-v2 🤯","2026-04-03T08:26:27.000Z","MUL_TEXT_US_ACCIDENTS","645","finished","2.052265167236328","1.0986328125"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_2","0.9774230814352244","2","ft","TabPFN-v2 🤯","2026-04-03T09:21:13.000Z","MUL_TEXT_US_ACCIDENTS","6027","finished","2.2757492065429688","17.1025390625"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.977036833068626","3","all","TabM Ⓜ️","2026-04-03T03:15:27.000Z","MUL_TEXT_WINE_REVIEW","159","finished","1.727497100830078","1.1845703125"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.9769851821087272","3","all","LightGBM 💡","2026-04-03T19:50:07.000Z","REG_TEXT_MONTGOMERY_SALARIES","215","finished","1.5109367370605469","1.0986328125"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_2","0.976922231312052","2","ft","TabPFN-v2p5 🇩🇪","2026-04-03T09:17:42.000Z","MUL_TEXT_US_ACCIDENTS","5987","finished","2.120807647705078","17.1025390625"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_1","0.9769150486926248","1","all","TabPFN-v2p5 🇩🇪","2026-04-03T08:50:32.000Z","MUL_TEXT_US_ACCIDENTS","630","finished","1.9553489685058592","1.0986328125"
"tabm_MUL_TEXT_WINE_REVIEW_0","0.9768339912057944","0","all","TabM Ⓜ️","2026-04-03T02:20:47.000Z","MUL_TEXT_WINE_REVIEW","156","finished","1.7276382446289062","1.1845703125"
"tabm_MUL_TEXT_WINE_REVIEW_1","0.9768070746316913","1","all","TabM Ⓜ️","2026-04-03T02:52:08.000Z","MUL_TEXT_WINE_REVIEW","158","finished","1.7263565063476562","1.1845703125"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_3","0.9764960577098551","3","all","TabPFN-v2p5 🇩🇪","2026-04-03T09:47:22.000Z","MUL_TEXT_US_ACCIDENTS","628","finished","1.9479217529296875","1.0986328125"
"cat_MUL_TEXT_WINE_REVIEW_2","0.976299538474834","2","all","CatBoost 😸","2026-04-03T03:01:53.000Z","MUL_TEXT_WINE_REVIEW","674","finished","1.8790855407714844","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_2","0.9762755512369514","2","ft","CatBoost 😸","2026-04-03T09:05:35.000Z","MUL_TEXT_US_ACCIDENTS","5521","finished","2.2446327209472656","20.7353515625"
"cat_REG_TEXT_MONTGOMERY_SALARIES_2","0.9761519789379802","2","ft","CatBoost 😸","2026-04-03T19:32:27.000Z","REG_TEXT_MONTGOMERY_SALARIES","2907","finished","2.0713424682617188","16.7861328125"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_2","0.9760890726928968","2","all","TabPFN-v2 🤯","2026-04-03T09:20:37.000Z","MUL_TEXT_US_ACCIDENTS","652","finished","2.06246566772461","1.0986328125"
"light_MUL_TEXT_WINE_REVIEW_3","0.9759549072859462","3","ft","LightGBM 💡","2026-04-03T03:10:47.000Z","MUL_TEXT_WINE_REVIEW","2085","finished","1.7855949401855469","15.9072265625"
"tabm_MUL_TEXT_US_ACCIDENTS_4","0.9756583174127376","4","all","TabM Ⓜ️","2026-04-03T10:07:47.000Z","MUL_TEXT_US_ACCIDENTS","579","finished","1.8213958740234375","1.1279296875"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9754405838394404","4","all","CatBoost 😸","2026-04-03T03:32:18.000Z","MUL_TEXT_WINE_REVIEW","734","finished","1.9058990478515625","1.0986328125"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9754361203556714","4","all","TabPFN-v2p5 🇩🇪","2026-04-03T20:16:44.000Z","REG_TEXT_MONTGOMERY_SALARIES","240","finished","1.6959800720214844","1.0986328125"
"light_MUL_TEXT_WINE_REVIEW_2","0.9751581887130264","2","ft","LightGBM 💡","2026-04-03T03:00:34.000Z","MUL_TEXT_WINE_REVIEW","2657","finished","1.7820777893066406","15.9072265625"
"cat_MUL_TEXT_US_ACCIDENTS_2","0.9749495648876516","2","all","CatBoost 😸","2026-04-03T09:03:30.000Z","MUL_TEXT_US_ACCIDENTS","872","finished","2.059162139892578","1.0986328125"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_2","0.9749246854769568","2","all","TabPFN-v2p5 🇩🇪","2026-04-03T09:14:04.000Z","MUL_TEXT_US_ACCIDENTS","629","finished","1.9482383728027344","1.0986328125"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9745998095451632","4","ft","TabM Ⓜ️","2026-04-03T20:15:14.000Z","REG_TEXT_MONTGOMERY_SALARIES","3656","finished","1.8257102966308592","16.7958984375"
"cat_MUL_TEXT_US_ACCIDENTS_4","0.9742606754186428","4","all","CatBoost 😸","2026-04-03T10:04:31.000Z","MUL_TEXT_US_ACCIDENTS","796","finished","2.0511627197265625","1.0986328125"
"cat_MUL_TEXT_WINE_REVIEW_1","0.974256879502789","1","all","CatBoost 😸","2026-04-03T02:44:47.000Z","MUL_TEXT_WINE_REVIEW","635","finished","1.8862342834472656","1.0986328125"
"cat_REG_TEXT_MONTGOMERY_SALARIES_2","0.9742366293221923","2","all","CatBoost 😸","2026-04-03T19:31:00.000Z","REG_TEXT_MONTGOMERY_SALARIES","259","finished","1.6615867614746094","1.0986328125"
"light_MUL_TEXT_WINE_REVIEW_1","0.9740780392552572","1","ft","LightGBM 💡","2026-04-03T02:40:40.000Z","MUL_TEXT_WINE_REVIEW","2765","finished","1.7835121154785156","15.9072265625"
"tabm_MUL_TEXT_US_ACCIDENTS_0","0.9739912755450888","0","all","TabM Ⓜ️","2026-04-03T08:16:04.000Z","MUL_TEXT_US_ACCIDENTS","578","finished","1.8267936706542969","1.1279296875"
"cat_MUL_TEXT_WINE_REVIEW_3","0.9739780145521624","3","all","CatBoost 😸","2026-04-03T03:11:50.000Z","MUL_TEXT_WINE_REVIEW","757","finished","1.8828468322753904","1.0986328125"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_1","0.9736463430762884","1","ft","TabPFN-v2p5 🇩🇪","2026-04-03T19:23:04.000Z","REG_TEXT_MONTGOMERY_SALARIES","3090","finished","1.8662452697753904","21.7197265625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.9732746437696272","4","all","TabPFN-v2 🤯","2026-04-03T20:20:40.000Z","REG_TEXT_MONTGOMERY_SALARIES","256","finished","2.714344024658203","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_1","0.9732713101140912","1","ft","CatBoost 😸","2026-04-03T08:42:46.000Z","MUL_TEXT_US_ACCIDENTS","4858","finished","2.2328147888183594","20.7353515625"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_3","0.973183289713096","3","all","TabPFN-v2 🤯","2026-04-03T09:57:54.000Z","MUL_TEXT_US_ACCIDENTS","645","finished","2.0725784301757812","1.0986328125"
"cat_MUL_TEXT_WINE_REVIEW_0","0.973164082411096","0","all","CatBoost 😸","2026-04-03T02:17:05.000Z","MUL_TEXT_WINE_REVIEW","741","finished","1.8849105834960935","1.0986328125"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_1","0.9727674254969386","1","all","TabPFN-v2 🤯","2026-04-03T08:51:51.000Z","MUL_TEXT_US_ACCIDENTS","649","finished","2.0566482543945312","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_3","0.972321314297206","3","ft","CatBoost 😸","2026-04-03T09:31:36.000Z","MUL_TEXT_US_ACCIDENTS","4831","finished","2.2631988525390625","20.7353515625"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.971873183731494","4","ft","CatBoost 😸","2026-04-03T20:10:23.000Z","REG_TEXT_MONTGOMERY_SALARIES","3690","finished","2.05633544921875","16.7861328125"
"cat_MUL_TEXT_US_ACCIDENTS_0","0.971724137677231","0","all","CatBoost 😸","2026-04-03T08:06:51.000Z","MUL_TEXT_US_ACCIDENTS","757","finished","2.0587921142578125","1.0986328125"
"light_MUL_TEXT_WINE_REVIEW_0","0.9713850269145188","0","ft","LightGBM 💡","2026-04-03T02:14:58.000Z","MUL_TEXT_WINE_REVIEW","2766","finished","1.7860069274902344","15.9072265625"
"light_REG_TEXT_MONTGOMERY_SALARIES_2","0.9712422014575764","2","ft","LightGBM 💡","2026-04-03T19:28:46.000Z","REG_TEXT_MONTGOMERY_SALARIES","2863","finished","1.7520027160644531","16.7861328125"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_2","0.9711339790388008","2","ft","TabPFN-v2 🤯","2026-04-03T19:43:51.000Z","REG_TEXT_MONTGOMERY_SALARIES","2722","finished","2.7783432006835938","21.7197265625"
"light_MUL_TEXT_US_ACCIDENTS_0","0.9708241561017192","0","all","LightGBM 💡","2026-04-03T08:03:57.000Z","MUL_TEXT_US_ACCIDENTS","722","finished","1.6702766418457031","1.0986328125"
"tabm_MUL_TEXT_US_ACCIDENTS_2","0.9707990607862044","2","all","TabM Ⓜ️","2026-04-03T09:10:17.000Z","MUL_TEXT_US_ACCIDENTS","582","finished","1.823223114013672","1.1279296875"
"light_REG_TEXT_MONTGOMERY_SALARIES_2","0.9707064828259336","2","all","LightGBM 💡","2026-04-03T19:28:26.000Z","REG_TEXT_MONTGOMERY_SALARIES","233","finished","1.5385208129882812","1.0986328125"
"light_MUL_TEXT_US_ACCIDENTS_3","0.970638237287602","3","ft","LightGBM 💡","2026-04-03T09:24:55.000Z","MUL_TEXT_US_ACCIDENTS","4720","finished","1.81500244140625","20.7353515625"
"light_MUL_TEXT_US_ACCIDENTS_4","0.9701072876074162","4","all","LightGBM 💡","2026-04-03T10:03:04.000Z","MUL_TEXT_US_ACCIDENTS","578","finished","1.6424903869628906","1.0986328125"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_2","0.9695842480870004","2","all","TabPFN-v2 🤯","2026-04-03T19:43:12.000Z","REG_TEXT_MONTGOMERY_SALARIES","258","finished","2.697681427001953","1.0986328125"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9695559785599054","4","all","CatBoost 😸","2026-04-03T20:09:05.000Z","REG_TEXT_MONTGOMERY_SALARIES","259","finished","1.8204421997070312","1.0986328125"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_1","0.9692044893926453","1","ft","TabPFN-v2 🤯","2026-04-03T19:24:29.000Z","REG_TEXT_MONTGOMERY_SALARIES","3111","finished","2.878257751464844","21.7197265625"
"tabm_MUL_TEXT_US_ACCIDENTS_1","0.9691635642553256","1","all","TabM Ⓜ️","2026-04-03T08:46:43.000Z","MUL_TEXT_US_ACCIDENTS","582","finished","1.8245353698730469","1.1279296875"
"light_MUL_TEXT_US_ACCIDENTS_1","0.9687859134753825","1","all","LightGBM 💡","2026-04-03T08:32:44.000Z","MUL_TEXT_US_ACCIDENTS","595","finished","1.6685523986816406","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_1","0.9685235995808974","1","all","CatBoost 😸","2026-04-03T08:37:59.000Z","MUL_TEXT_US_ACCIDENTS","782","finished","2.068572998046875","1.0986328125"
"light_MUL_TEXT_US_ACCIDENTS_1","0.9685224878936578","1","ft","LightGBM 💡","2026-04-03T08:36:44.000Z","MUL_TEXT_US_ACCIDENTS","4729","finished","1.8289031982421875","20.7353515625"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.968487137619172","4","ft","LightGBM 💡","2026-04-03T20:05:26.000Z","REG_TEXT_MONTGOMERY_SALARIES","3632","finished","1.7478561401367188","16.7861328125"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9683288081390932","4","all","TabM Ⓜ️","2026-04-03T20:14:59.000Z","REG_TEXT_MONTGOMERY_SALARIES","255","finished","1.7838020324707031","1.1748046875"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.968228737373608","4","all","LightGBM 💡","2026-04-03T20:04:59.000Z","REG_TEXT_MONTGOMERY_SALARIES","215","finished","1.5084266662597656","1.0986328125"
"tabm_MUL_TEXT_US_ACCIDENTS_3","0.9674063770802384","3","ft","TabM Ⓜ️","2026-04-03T09:39:16.000Z","MUL_TEXT_US_ACCIDENTS","4721","finished","1.8800048828125","20.7490234375"
"light_MUL_TEXT_WINE_REVIEW_4","0.9672509023650744","4","all","LightGBM 💡","2026-04-03T03:27:25.000Z","MUL_TEXT_WINE_REVIEW","159","finished","1.5304069519042969","1.0986328125"
"tabm_MUL_TEXT_US_ACCIDENTS_1","0.9663373409095944","1","ft","TabM Ⓜ️","2026-04-03T08:47:23.000Z","MUL_TEXT_US_ACCIDENTS","4734","finished","1.911338806152344","20.7490234375"
"light_MUL_TEXT_WINE_REVIEW_1","0.9655814417640348","1","all","LightGBM 💡","2026-04-03T02:37:53.000Z","MUL_TEXT_WINE_REVIEW","160","finished","1.5295257568359375","1.0986328125"
"cat_MUL_TEXT_SPOTIFY_GENRES_4","0.9655702304607424","4","ft","CatBoost 😸","2026-04-03T07:38:55.000Z","MUL_TEXT_SPOTIFY_GENRES","5605","finished","2.5888595581054688","21.3447265625"
"tabm_MUL_TEXT_US_ACCIDENTS_3","0.965481978067566","3","all","TabM Ⓜ️","2026-04-03T09:35:01.000Z","MUL_TEXT_US_ACCIDENTS","577","finished","1.8260459899902344","1.1279296875"
"light_MUL_TEXT_WINE_REVIEW_3","0.9652708846420376","3","all","LightGBM 💡","2026-04-03T03:10:15.000Z","MUL_TEXT_WINE_REVIEW","159","finished","1.534709930419922","1.0986328125"
"cat_MUL_TEXT_SPOTIFY_GENRES_0","0.9649895490937046","0","ft","CatBoost 😸","2026-04-03T06:11:05.000Z","MUL_TEXT_SPOTIFY_GENRES","6509","finished","2.5892486572265625","21.3447265625"
"cat_MUL_TEXT_SPOTIFY_GENRES_3","0.9644800267370816","3","ft","CatBoost 😸","2026-04-03T07:22:12.000Z","MUL_TEXT_SPOTIFY_GENRES","5814","finished","2.6113510131835938","21.3447265625"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_1","0.9642476166022974","1","ft","TabM Ⓜ️","2026-04-03T19:20:27.000Z","REG_TEXT_MONTGOMERY_SALARIES","2474","finished","1.8543548583984375","16.7958984375"
"light_MUL_TEXT_WINE_REVIEW_0","0.9641964008861488","0","all","LightGBM 💡","2026-04-03T02:14:34.000Z","MUL_TEXT_WINE_REVIEW","177","finished","1.5601692199707031","1.0986328125"
"cat_MUL_TEXT_US_ACCIDENTS_3","0.9639137799928856","3","all","CatBoost 😸","2026-04-03T09:26:27.000Z","MUL_TEXT_US_ACCIDENTS","766","finished","2.0584259033203125","1.0986328125"
