"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created","Runtime"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8384704129868215","15","TabM Ⓜ️","2","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:40:53.000Z","9903"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.826231771656768","15","CatBoost 😸","2","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:17:19.000Z","9843"
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7909773055013511","15","LightGBM 💡","2","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T04:59:47.000Z","9807"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8716972876318502","15","TabPFN-v2p5 🇩🇪","1","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:49:09.000Z","10858"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7573214021533211","15","TabPFN-v2 🤯","1","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:05:10.000Z","10878"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8434337640049657","15","TabM Ⓜ️","1","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:52:41.000Z","8670"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8328295669871603","15","CatBoost 😸","1","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:39:35.000Z","8621"
"light_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7987609729447835","15","LightGBM 💡","1","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T01:25:58.000Z","8564"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8721219359482637","15","TabPFN-v2p5 🇩🇪","0","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:42:45.000Z","14578"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7654726129345609","15","TabPFN-v2 🤯","0","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:14:53.000Z","8076"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.852640025786012","15","TabM Ⓜ️","0","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:06:15.000Z","9468"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8438826339402603","15","CatBoost 😸","0","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:59:58.000Z","9492"
"light_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8083878158397507","15","LightGBM 💡","0","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:53:41.000Z","9453"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3676409041569893","15","TabPFN-v2p5 🇩🇪","4","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:41:52.000Z","1082"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.24840676568057085","15","TabPFN-v2 🤯","4","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:35:30.000Z","1086"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.48647983076693857","15","TabM Ⓜ️","4","ft","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:28:23.000Z","1826"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.15536868818955374","15","CatBoost 😸","4","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:25:27.000Z","1839"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.1833946915803195","15","LightGBM 💡","4","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:21:52.000Z","1806"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_3","0.4396749044833595","15","TabPFN-v2p5 🇩🇪","3","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:15:21.000Z","1082"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.31433094575719167","15","TabPFN-v2 🤯","3","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:04:20.000Z","1092"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_3","0.34950923647665355","15","TabM Ⓜ️","3","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:59:26.000Z","1194"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.480946291297252","15","CatBoost 😸","3","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:53:20.000Z","1152"
"light_REG_TEXT_VIDEO_GAMES_SALES_3","0.5126948845179446","15","LightGBM 💡","3","ft","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:44:11.000Z","1139"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_2","0.33404717123642336","15","TabPFN-v2p5 🇩🇪","2","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:35:29.000Z","1311"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.23695594390074004","15","TabPFN-v2 🤯","2","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:31:19.000Z","1315"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_2","0.5596872733804368","15","TabM Ⓜ️","2","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:26:55.000Z","953"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.43963631460130514","15","CatBoost 😸","2","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:15:27.000Z","945"
"light_REG_TEXT_VIDEO_GAMES_SALES_2","0.3878317671956887","15","LightGBM 💡","2","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:09:55.000Z","927"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_1","0.4794874381732357","15","TabPFN-v2p5 🇩🇪","1","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:58:57.000Z","1826"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_1","0.3579114755778442","15","TabPFN-v2 🤯","1","ft","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:55:09.000Z","1840"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_1","0.5579922022000685","15","TabM Ⓜ️","1","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:50:33.000Z","1149"
"cat_REG_TEXT_VIDEO_GAMES_SALES_1","0.26804166466452073","15","CatBoost 😸","1","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:36:43.000Z","1141"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.5223463596256466","15","LightGBM 💡","1","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:28:52.000Z","1136"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_0","0.46406755212219497","15","TabPFN-v2p5 🇩🇪","0","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:26:04.000Z","1446"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_0","0.32882578469676527","15","TabPFN-v2 🤯","0","ft","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:24:44.000Z","1455"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.5190506725523104","15","CatBoost 😸","0","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T20:40:15.000Z","5707"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.5254541441118964","15","TabM Ⓜ️","0","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T18:03:53.000Z","1620"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.5369021641333677","15","LightGBM 💡","0","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T17:38:12.000Z","1602"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8116702461442367","15","TabPFN-v2p5 🇩🇪","4","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:32:10.000Z","1564"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.783446738230773","15","TabPFN-v2 🤯","4","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:27:31.000Z","1544"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7771599420695451","15","TabM Ⓜ️","4","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:25:37.000Z","1364"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.8023466763586982","15","CatBoost 😸","4","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:08:31.000Z","6022"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7833403340970242","15","LightGBM 💡","4","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:03:07.000Z","1345"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.7819352458081605","15","TabPFN-v2p5 🇩🇪","3","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:58:57.000Z","1540"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_1","0.7377308355622593","15","TabPFN-v2 🤯","1","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:56:24.000Z","1942"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.758483521856015","15","TabPFN-v2 🤯","3","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:55:56.000Z","1566"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7771793940892738","15","TabM Ⓜ️","3","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:42:46.000Z","1153"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7766883635453613","15","CatBoost 😸","3","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:38:20.000Z","1162"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7617648690176556","15","LightGBM 💡","3","ft","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:34:17.000Z","1220"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_2","0.7624766813174021","15","TabPFN-v2p5 🇩🇪","2","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:31:11.000Z","1486"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_2","0.7510104096655168","15","TabPFN-v2 🤯","2","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:25:47.000Z","1506"
"tabm_REG_TEXT_VANCOUVER_SALARIES_2","0.7432363083762592","15","TabM Ⓜ️","2","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:14:32.000Z","1507"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.7501283833730789","15","CatBoost 😸","2","ft","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:08:49.000Z","1520"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7346763248319658","15","LightGBM 💡","2","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:03:35.000Z","1546"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_1","0.7753433080004831","15","TabPFN-v2p5 🇩🇪","1","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:58:41.000Z","1943"
"tabm_REG_TEXT_VANCOUVER_SALARIES_1","0.7559393262956847","15","TabM Ⓜ️","1","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:49:56.000Z","1441"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7690918728769851","15","CatBoost 😸","1","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:42:15.000Z","1412"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.7570333206392168","15","LightGBM 💡","1","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:35:17.000Z","1394"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_0","0.8122825059089435","15","TabPFN-v2p5 🇩🇪","0","ft","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:31:19.000Z","1598"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_0","0.7820867105680347","15","TabPFN-v2 🤯","0","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:24:39.000Z","1600"
"tabm_REG_TEXT_VANCOUVER_SALARIES_0","0.7848530345739999","15","TabM Ⓜ️","0","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:21:04.000Z","1432"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.7928593280373456","15","CatBoost 😸","0","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:04:54.000Z","1430"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.7800858876554021","15","LightGBM 💡","0","ft","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T14:56:25.000Z","1394"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_4","0.5094214430762369","15","TabPFN-v2p5 🇩🇪","4","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:43:48.000Z","2939"
"tabm_REG_TEXT_ROTTEN_TOMATOES_4","0.48506397568959514","15","TabM Ⓜ️","4","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:43:13.000Z","2882"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_4","0.4952922907858295","15","TabPFN-v2 🤯","4","ft","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:26:44.000Z","2960"
"cat_REG_TEXT_ROTTEN_TOMATOES_4","0.4848913924540805","15","CatBoost 😸","4","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:07:14.000Z","2919"
"light_REG_TEXT_ROTTEN_TOMATOES_4","0.4627706389202153","15","LightGBM 💡","4","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:05:43.000Z","2882"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5550127026278004","15","TabPFN-v2p5 🇩🇪","3","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:52:33.000Z","2471"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5509912076659627","15","TabPFN-v2 🤯","3","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:29:17.000Z","2482"
"tabm_REG_TEXT_ROTTEN_TOMATOES_3","0.5128445101944781","15","TabM Ⓜ️","3","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:12:09.000Z","3522"
"cat_REG_TEXT_ROTTEN_TOMATOES_3","0.5168573029974848","15","CatBoost 😸","3","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:05:53.000Z","3635"
"light_REG_TEXT_ROTTEN_TOMATOES_3","0.506777850351469","15","LightGBM 💡","3","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:55:27.000Z","3514"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5263804272999627","15","TabM Ⓜ️","2","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:43:15.000Z","3096"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5945033232799302","15","TabPFN-v2p5 🇩🇪","2","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:34:55.000Z","4120"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.5794802190506876","15","TabPFN-v2 🤯","2","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:27:07.000Z","4133"
"cat_REG_TEXT_ROTTEN_TOMATOES_2","0.5145025585942393","15","CatBoost 😸","2","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:13:48.000Z","3128"
"light_REG_TEXT_ROTTEN_TOMATOES_2","0.5063437792104238","15","LightGBM 💡","2","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:06:38.000Z","3093"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.6158554134300502","15","TabPFN-v2p5 🇩🇪","1","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:00:17.000Z","3176"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.6012414931975513","15","TabPFN-v2 🤯","1","ft","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:55:22.000Z","3196"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.5862452561106419","15","TabM Ⓜ️","1","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:51:49.000Z","2461"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.5913500861734833","15","CatBoost 😸","1","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:32:48.000Z","2495"
"light_REG_TEXT_ROTTEN_TOMATOES_1","0.5630221670928179","15","LightGBM 💡","1","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:14:56.000Z","2480"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_0","0.5856023035678194","15","TabPFN-v2p5 🇩🇪","0","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:05:46.000Z","3649"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_0","0.5692257339224776","15","TabPFN-v2 🤯","0","ft","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:58:23.000Z","3664"
"tabm_REG_TEXT_ROTTEN_TOMATOES_0","0.5377691950323258","15","TabM Ⓜ️","0","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:53:52.000Z","3518"
"cat_REG_TEXT_ROTTEN_TOMATOES_0","0.5197439662439627","15","CatBoost 😸","0","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:33:25.000Z","3557"
"light_REG_TEXT_ROTTEN_TOMATOES_0","0.4968385101817244","15","LightGBM 💡","0","ft","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T09:57:58.000Z","3536"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8906024098396301","15","TabPFN-v2p5 🇩🇪","4","ft","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:50:21.000Z","7494"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8757911324501038","15","TabPFN-v2 🤯","4","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:32:26.000Z","7488"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8790674209594727","15","TabM Ⓜ️","4","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:13:34.000Z","5741"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8817092243850071","15","CatBoost 😸","4","ft","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:04:35.000Z","5798"
"light_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8699022195934734","15","LightGBM 💡","4","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:57:35.000Z","5728"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8022046089172363","15","TabPFN-v2p5 🇩🇪","3","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:49:56.000Z","8055"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8805838227272034","15","TabPFN-v2 🤯","3","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:43:31.000Z","8073"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8838575482368469","15","TabM Ⓜ️","3","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:39:28.000Z","4549"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8608326425827936","15","CatBoost 😸","3","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:27:50.000Z","4533"
"light_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8575276337384946","15","LightGBM 💡","3","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:15:26.000Z","4461"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.890020489692688","15","TabPFN-v2p5 🇩🇪","2","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:45:16.000Z","4190"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8689541816711426","15","TabPFN-v2 🤯","2","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:34:00.000Z","4228"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.873576283454895","15","TabM Ⓜ️","2","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:25:54.000Z","4483"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8661349047876323","15","CatBoost 😸","2","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:20:53.000Z","4524"
"light_REG_TEXT_SCIMAGOJR_IMPACT_2","0.85596689474413","15","LightGBM 💡","2","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:04:38.000Z","4490"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8978809118270874","15","TabPFN-v2p5 🇩🇪","1","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:56:35.000Z","6339"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8747125864028931","15","TabPFN-v2 🤯","1","ft","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:34:48.000Z","6374"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8834993839263916","15","TabM Ⓜ️","1","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:15:06.000Z","4730"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8804333304501633","15","CatBoost 😸","1","ft","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:02:43.000Z","4785"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8758422236830977","15","LightGBM 💡","1","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:53:12.000Z","4716"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9048492312431335","15","TabPFN-v2p5 🇩🇪","0","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:50:38.000Z","6081"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9013519287109376","15","TabPFN-v2 🤯","0","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:39:27.000Z","6080"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.890764594078064","15","TabM Ⓜ️","0","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:34:08.000Z","4940"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8897101836017332","15","CatBoost 😸","0","ft","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:26:46.000Z","4986"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8811860688447494","15","LightGBM 💡","0","ft","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:11:55.000Z","4975"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9797737139298598","15","TabPFN-v2p5 🇩🇪","4","ft","","n306","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T05:01:01.000Z","3691"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.976456690906697","15","TabPFN-v2 🤯","4","ft","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:48:38.000Z","3644"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9724419637131072","15","TabM Ⓜ️","4","ft","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:37:16.000Z","3650"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.97199123248812","15","CatBoost 😸","4","ft","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:33:01.000Z","3660"
