lea"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7177066049276072","15","TabPFN-v2 🤯","1","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:58:29.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8358787624399082","15","TabM Ⓜ️","1","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:44:32.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8145096834251367","15","CatBoost 😸","1","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:38:20.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7794697114077673","15","LightGBM 💡","1","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:58:54.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8640971530261449","15","TabPFN-v2p5 🇩🇪","0","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:28:40.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7512533998057328","15","TabPFN-v2 🤯","0","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:13:18.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.84233343897805","15","TabM Ⓜ️","0","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:00:15.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8235848270820971","15","CatBoost 😸","0","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:56:46.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7739152607288882","15","LightGBM 💡","0","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:52:05.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3206011172258312","15","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:38:48.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.22853843460691048","15","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:34:57.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.25470997941492346","15","TabM Ⓜ️","4","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:25:51.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.1803024837454541","15","CatBoost 😸","4","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:22:39.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.17684458346248622","15","LightGBM 💡","4","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:19:25.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_3","0.424537430260138","15","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:12:39.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.31433473337244333","15","TabPFN-v2 🤯","3","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:01:09.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_3","0.32778065033266524","15","TabM Ⓜ️","3","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:54:56.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.4391227677926745","15","CatBoost 😸","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:46:44.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_3","0.4675755913842454","15","LightGBM 💡","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:42:51.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_2","0.31943267416776044","15","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:32:47.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.2089544983179047","15","TabPFN-v2 🤯","2","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:29:26.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_2","0.3726826601979063","15","TabM Ⓜ️","2","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:25:54.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.3241506838610594","15","CatBoost 😸","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:12:20.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_2","0.33122405638740104","15","LightGBM 💡","2","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:08:45.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_1","0.4596971139809769","15","TabPFN-v2p5 🇩🇪","1","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:56:14.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_1","0.33339661690856437","15","TabPFN-v2 🤯","1","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:52:21.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_1","0.5555670513532631","15","TabM Ⓜ️","1","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:49:34.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_1","0.49497628401297966","15","CatBoost 😸","1","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:30:44.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.4451958337139491","15","LightGBM 💡","1","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:26:04.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_0","0.4407860146157817","15","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:25:14.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.3796854771525332","15","CatBoost 😸","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T20:37:06.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_0","0.31603043803512565","15","TabPFN-v2 🤯","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T18:49:01.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.482676044195487","15","TabM Ⓜ️","0","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T17:58:49.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.37285748173380384","15","LightGBM 💡","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T17:33:07.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8048564138138579","15","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:29:26.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7704310543470989","15","TabPFN-v2 🤯","4","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:26:04.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7655525454538522","15","TabM Ⓜ️","4","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:22:07.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.7694974189714687","15","CatBoost 😸","4","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:03:53.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7402379848610643","15","LightGBM 💡","4","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:00:34.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.7969029424172366","15","TabPFN-v2p5 🇩🇪","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:57:51.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.7482418514739351","15","TabPFN-v2 🤯","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:53:44.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_1","0.7207441703174022","15","TabPFN-v2 🤯","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:53:36.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7613866833309819","15","TabM Ⓜ️","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:40:09.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7586990163669194","15","CatBoost 😸","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:35:25.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7396942006645204","15","LightGBM 💡","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:32:48.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_2","0.7561747965098391","15","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:29:31.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_2","0.740207907991793","15","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:17:03.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_2","0.7336360257747667","15","TabM Ⓜ️","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:11:49.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.7216794809338647","15","CatBoost 😸","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:05:53.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7070056077195466","15","LightGBM 💡","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:01:08.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_1","0.7818953506165741","15","TabPFN-v2p5 🇩🇪","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:58:25.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_1","0.7386460970104075","15","TabM Ⓜ️","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:46:26.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7295789896310918","15","CatBoost 😸","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:36:22.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.6997573254355121","15","LightGBM 💡","1","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:32:50.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_0","0.7895983558839728","15","TabPFN-v2p5 🇩🇪","0","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:28:50.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_0","0.7674632131452661","15","TabPFN-v2 🤯","0","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:21:51.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_0","0.764897568444159","15","TabM Ⓜ️","0","all","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:16:10.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.7669804592795636","15","CatBoost 😸","0","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T14:58:28.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.7285344700682118","15","LightGBM 💡","0","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T14:53:53.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_4","0.4829335196656221","15","CatBoost 😸","4","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:35:39.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_4","0.5156450122254762","15","TabPFN-v2p5 🇩🇪","4","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:33:52.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_4","0.5003885665656493","15","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:21:33.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_4","0.4901526730467325","15","TabM Ⓜ️","4","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:12:15.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_4","0.433423589030389","15","LightGBM 💡","4","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:57:03.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5402270908637937","15","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:43:11.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5271080959026286","15","TabPFN-v2 🤯","3","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:17:02.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_3","0.5045148323078239","15","TabM Ⓜ️","3","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:08:14.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_3","0.49716421888313334","15","CatBoost 😸","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:59:22.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_3","0.4938791996155423","15","LightGBM 💡","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:53:20.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5682090970926186","15","TabPFN-v2p5 🇩🇪","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:32:57.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.5376004252491978","15","TabPFN-v2 🤯","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:22:25.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5459139293104398","15","TabM Ⓜ️","2","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:14:26.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_2","0.49618631287556303","15","CatBoost 😸","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:08:51.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_2","0.47760539188194984","15","LightGBM 💡","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:05:04.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.6028857210142309","15","TabPFN-v2p5 🇩🇪","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:59:31.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.582291693973642","15","TabPFN-v2 🤯","1","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:52:33.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.5679980912109835","15","TabM Ⓜ️","1","all","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:42:48.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.5485975526744031","15","CatBoost 😸","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:22:25.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_1","0.5179879119377997","15","LightGBM 💡","1","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:09:52.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_0","0.5595619065658479","15","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:04:18.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_0","0.5425736246257384","15","TabPFN-v2 🤯","0","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:56:59.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_0","0.5139191397330225","15","TabM Ⓜ️","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:45:27.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_0","0.5014280098061672","15","CatBoost 😸","0","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:05:43.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_0","0.4962414361431524","15","LightGBM 💡","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T09:55:20.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8947839140892029","15","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:43:32.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8705531358718872","15","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:20:35.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8856587409973145","15","TabM Ⓜ️","4","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:07:00.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8688496929396795","15","CatBoost 😸","4","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:58:14.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8649661681867938","15","LightGBM 💡","4","all","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:53:52.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8158861398696899","15","TabPFN-v2p5 🇩🇪","3","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:45:51.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8672161102294922","15","TabPFN-v2 🤯","3","all","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:41:51.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8744163513183594","15","TabM Ⓜ️","3","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:36:23.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_3","0.852069495412727","15","CatBoost 😸","3","all","","n306","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:21:10.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8389794829027681","15","LightGBM 💡","3","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:53:59.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8867375254631042","15","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:34:53.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8820611238479614","15","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:32:04.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8758163452148438","15","TabM Ⓜ️","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:23:02.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8626600643129333","15","CatBoost 😸","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:12:40.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8490717667542069","15","LightGBM 💡","2","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:01:25.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.9004162549972534","15","TabPFN-v2p5 🇩🇪","1","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:49:55.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8804249167442322","15","TabPFN-v2 🤯","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:22:30.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8929658532142639","15","TabM Ⓜ️","1","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:07:35.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8815254392640826","15","CatBoost 😸","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:00:10.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8707430332045466","15","LightGBM 💡","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:53:08.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8975533843040466","15","TabPFN-v2p5 🇩🇪","0","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:41:35.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8958569765090942","15","TabPFN-v2 🤯","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:36:03.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8965146541595459","15","TabM Ⓜ️","0","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:31:35.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.885550962002035","15","CatBoost 😸","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:20:15.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8729471825275139","15","LightGBM 💡","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:01:54.000Z"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9803419594588332","15","TabPFN-v2p5 🇩🇪","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:51:36.000Z"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.9750490941629292","15","TabPFN-v2 🤯","4","all","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:40:33.000Z"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9701941883673006","15","TabM Ⓜ️","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:34:31.000Z"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9691198990047092","15","CatBoost 😸","4","all","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:32:19.000Z"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.9701487558991188","15","LightGBM 💡","4","all","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:29:16.000Z"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9844689323014836","15","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:15:09.000Z"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.9860370237929176","15","TabPFN-v2 🤯","3","all","","n306","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:09:15.000Z"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.9817741047267676","15","TabM Ⓜ️","3","all","","n306","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:05:09.000Z"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.97870004955503","15","CatBoost 😸","3","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T03:57:41.000Z"
