"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8556229924757918","60","TabPFN-v2p5 🇩🇪","0","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:34:49.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.6910460850454504","60","TabPFN-v2 🤯","0","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:14:42.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8407283655418643","60","TabM Ⓜ️","0","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:05:43.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8256140010791754","60","CatBoost 😸","0","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:58:56.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7864225563000096","60","LightGBM 💡","0","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:52:32.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3232639200487787","60","TabPFN-v2p5 🇩🇪","4","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:38:58.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.2404356034521772","60","TabPFN-v2 🤯","4","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:35:23.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.3973897551508928","60","TabM Ⓜ️","4","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:26:56.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.1506753420044823","60","CatBoost 😸","4","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:23:48.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.1345893925936451","60","LightGBM 💡","4","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:19:53.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_3","0.4489689708755431","60","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:14:13.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.32143514862108","60","TabPFN-v2 🤯","3","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:03:54.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_3","0.3628094440733617","60","TabM Ⓜ️","3","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:55:19.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_1","0.47178009632237294","60","TabPFN-v2p5 🇩🇪","1","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:52:26.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.3720595175138083","60","CatBoost 😸","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:49:52.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_3","0.3702459576025956","60","LightGBM 💡","3","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:43:33.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_2","0.35124836683785954","60","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:34:29.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.23093747616175275","60","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:29:31.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_2","0.5662527220762739","60","TabM Ⓜ️","2","all","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:26:48.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.4182043993896852","60","CatBoost 😸","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:15:08.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_2","0.3221371029187331","60","LightGBM 💡","2","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T22:09:48.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_1","0.33225613554494837","60","TabPFN-v2 🤯","1","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:52:59.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_1","0.5741502867995976","60","TabM Ⓜ️","1","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:50:16.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_1","0.4068256433783226","60","CatBoost 😸","1","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:33:32.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.4194713840158695","60","LightGBM 💡","1","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:28:17.000Z"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_0","0.4620936440252485","60","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T21:25:14.000Z"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_0","0.3377457478109819","60","TabPFN-v2 🤯","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T18:51:49.000Z"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.5504866434610436","60","TabM Ⓜ️","0","all","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T18:01:21.000Z"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.4299078346829919","60","CatBoost 😸","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T17:55:04.000Z"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.44187383065779895","60","LightGBM 💡","0","all","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T17:35:39.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8190150442203107","60","TabPFN-v2p5 🇩🇪","4","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:30:00.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7828923877108271","60","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:26:50.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7987364570332854","60","TabM Ⓜ️","4","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:24:42.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.7929636213840776","60","CatBoost 😸","4","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:06:46.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7654299232864504","60","LightGBM 💡","4","all","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T17:00:48.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.8033601650182858","60","TabPFN-v2p5 🇩🇪","3","all","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:57:55.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.756802704383936","60","TabPFN-v2 🤯","3","all","","n306","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:54:42.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_1","0.7625623782613085","60","TabM Ⓜ️","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:51:01.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7889607658560885","60","TabM Ⓜ️","3","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:41:12.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7818445656086176","60","CatBoost 😸","3","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:36:17.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7467148740390158","60","LightGBM 💡","3","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:33:45.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_2","0.7660578081814329","60","TabPFN-v2p5 🇩🇪","2","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:30:31.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_2","0.7416513611872279","60","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:20:43.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_2","0.7499854700649308","60","TabM Ⓜ️","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:14:04.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.7357792222063404","60","CatBoost 😸","2","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:08:41.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7212999079113557","60","LightGBM 💡","2","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T16:01:27.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_1","0.7768175280814228","60","TabPFN-v2p5 🇩🇪","1","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:58:34.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_1","0.7250434526998893","60","TabPFN-v2 🤯","1","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:53:11.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7622602760708209","60","CatBoost 😸","1","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:39:10.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.7248713719589774","60","LightGBM 💡","1","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:32:53.000Z"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_0","0.8066136496254654","60","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:29:57.000Z"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_0","0.7694042478046788","60","TabPFN-v2 🤯","0","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:22:51.000Z"
"tabm_REG_TEXT_VANCOUVER_SALARIES_0","0.7865209161348717","60","TabM Ⓜ️","0","all","","n309","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:17:45.000Z"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.7927365123898493","60","CatBoost 😸","0","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T15:02:33.000Z"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.768802193105069","60","LightGBM 💡","0","all","","n305","REG_TEXT_VANCOUVER_SALARIES","2026-04-13T14:55:56.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_4","0.5020915016842171","60","TabPFN-v2p5 🇩🇪","4","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:34:06.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_4","0.47991000310869114","60","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:21:58.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_4","0.47454604694889024","60","TabM Ⓜ️","4","all","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:17:54.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_4","0.4463209644112637","60","CatBoost 😸","4","all","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T14:06:41.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_4","0.42754999763372703","60","LightGBM 💡","4","all","","n306","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:57:54.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.545156646002291","60","TabPFN-v2p5 🇩🇪","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:43:41.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5058540283970139","60","TabPFN-v2 🤯","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:17:36.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_3","0.5141243164065799","60","TabM Ⓜ️","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:08:42.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_3","0.49719934799073806","60","CatBoost 😸","3","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T13:02:03.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_3","0.4680255808628554","60","LightGBM 💡","3","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:53:30.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5511773204617645","60","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:33:33.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.525363116077777","60","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:23:09.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5235051825540213","60","TabM Ⓜ️","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:18:13.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_2","0.48893490553002894","60","CatBoost 😸","2","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:09:17.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_2","0.4708017277253469","60","LightGBM 💡","2","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T12:05:24.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.6005190333029609","60","TabPFN-v2p5 🇩🇪","1","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:59:35.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.5727528092855081","60","TabPFN-v2 🤯","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:53:38.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.5785000578721395","60","TabM Ⓜ️","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:43:01.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.559089033913786","60","CatBoost 😸","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:31:44.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_1","0.5424716827297797","60","LightGBM 💡","1","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:13:37.000Z"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_0","0.5577785659079018","60","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T11:04:29.000Z"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_0","0.5292190730770627","60","TabPFN-v2 🤯","0","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:58:12.000Z"
"tabm_REG_TEXT_ROTTEN_TOMATOES_0","0.5304149575686881","60","TabM Ⓜ️","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:49:25.000Z"
"cat_REG_TEXT_ROTTEN_TOMATOES_0","0.5093910367791752","60","CatBoost 😸","0","all","","n305","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T10:33:08.000Z"
"light_REG_TEXT_ROTTEN_TOMATOES_0","0.49813643043002487","60","LightGBM 💡","0","all","","n309","REG_TEXT_ROTTEN_TOMATOES","2026-04-13T09:56:29.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8809428215026855","60","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:44:37.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8627642393112183","60","TabPFN-v2 🤯","4","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:29:52.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8818410038948059","60","TabM Ⓜ️","4","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:09:41.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8627006589528554","60","CatBoost 😸","4","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T09:00:44.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8634656531530995","60","LightGBM 💡","4","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:55:11.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8866857290267944","60","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:47:06.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8693455457687378","60","TabPFN-v2 🤯","3","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:43:30.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8650646209716797","60","TabM Ⓜ️","3","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:38:44.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8440317149104459","60","CatBoost 😸","3","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:25:47.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8474835432728437","60","LightGBM 💡","3","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T08:04:42.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8849515318870544","60","TabPFN-v2p5 🇩🇪","2","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:42:52.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8727421164512634","60","TabPFN-v2 🤯","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:32:42.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8737351298332214","60","TabM Ⓜ️","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:24:47.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8531182564648296","60","CatBoost 😸","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:16:15.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_2","0.84251417781087","60","LightGBM 💡","2","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T07:02:59.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8967558145523071","60","TabPFN-v2p5 🇩🇪","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:50:26.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8830062747001648","60","TabPFN-v2 🤯","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:34:21.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8886284828186035","60","TabM Ⓜ️","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:11:37.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8739373910506667","60","CatBoost 😸","1","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T06:02:18.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8725377853780648","60","LightGBM 💡","1","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:53:10.000Z"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.890843391418457","60","TabPFN-v2p5 🇩🇪","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:47:53.000Z"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8935473561286926","60","TabPFN-v2 🤯","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:38:11.000Z"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8855274319648743","60","TabM Ⓜ️","0","all","","n309","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:31:49.000Z"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8810938735872729","60","CatBoost 😸","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:22:26.000Z"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8687413491235529","60","LightGBM 💡","0","all","","n305","REG_TEXT_SCIMAGOJR_IMPACT","2026-04-13T05:10:34.000Z"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9752789919855992","60","TabPFN-v2p5 🇩🇪","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:57:01.000Z"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.971853916413513","60","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:46:38.000Z"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9686017679891588","60","TabM Ⓜ️","4","all","","n309","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:36:32.000Z"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9690674145707884","60","CatBoost 😸","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:32:23.000Z"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.96657491384457","60","LightGBM 💡","4","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:30:03.000Z"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9862732233361782","60","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:19:09.000Z"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.9867074511257292","60","TabPFN-v2 🤯","3","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:10:20.000Z"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.982961259298914","60","TabM Ⓜ️","3","all","","n305","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T04:06:57.000Z"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.97745941326924","60","CatBoost 😸","3","all","","n306","REG_TEXT_MONTGOMERY_SALARIES","2026-04-13T03:59:55.000Z"
